code,name,fullName,slug,type,provinceCode
00013,"Hà Đông","Phường Hà Đông, Thành phố Hà Nội",ha-ong,ward,01
00044,"Tương Mai","Phường Tương Mai, Thành phố Hà Nội",tuong-mai,ward,01
00051,"Bạch Mai","Phường Bạch Mai, Thành phố Hà Nội",bach-mai,ward,01
00063,"Nghĩa Đô","Phường Nghĩa Đô, Thành phố Hà Nội",nghia-o,ward,01
00066,"Hồng Hà","Phường Hồng Hà, Thành phố Hà Nội",hong-ha,ward,01
00072,"Bồ Đề","Phường Bồ Đề, Thành phố Hà Nội",bo-e,ward,01
00073,"Từ Liêm","Phường Từ Liêm, Thành phố Hà Nội",tu-liem,ward,01
00079,"Đông Anh","Xã Đông Anh, Thành phố Hà Nội",ong-anh,commune,01
00080,"Sóc Sơn","Xã Sóc Sơn, Thành phố Hà Nội",soc-son,commune,01
00091,"Phù Đổng","Xã Phù Đổng, Thành phố Hà Nội",phu-ong,commune,01
00096,"Kim Liên","Phường Kim Liên, Thành phố Hà Nội",kim-lien,ward,01
00101,"Thanh Xuân","Phường Thanh Xuân, Thành phố Hà Nội",thanh-xuan,ward,01
00103,"Văn Miếu - Quốc Tử Giám","Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội",van-mieu-quoc-tu-giam,ward,01
00104,"Hoàn Kiếm","Phường Hoàn Kiếm, Thành phố Hà Nội",hoan-kiem,ward,01
00106,"Xuân Phương","Phường Xuân Phương, Thành phố Hà Nội",xuan-phuong,ward,01
00114,"Thư Lâm","Xã Thư Lâm, Thành phố Hà Nội",thu-lam,commune,01
00116,"An Khánh","Xã An Khánh, Thành phố Hà Nội",an-khanh,commune,01
00119,"Tây Hồ","Phường Tây Hồ, Thành phố Hà Nội",tay-ho,ward,01
00120,"Tây Phương","Xã Tây Phương, Thành phố Hà Nội",tay-phuong,commune,01
00124,"Hoàng Mai","Phường Hoàng Mai, Thành phố Hà Nội",hoang-mai,ward,01
00127,"Ô Diên","Xã Ô Diên, Thành phố Hà Nội",o-dien,commune,01
