code,name,fullName,slug,type,provinceCode
00202,"Hoà Bình","Phường Hoà Bình, Tỉnh Phú Thọ",hoa-binh,ward,06
00205,"Vĩnh Phúc","Phường Vĩnh Phúc, Tỉnh Phú Thọ",vinh-phuc,ward,06
00247,"Việt Trì","Phường Việt Trì, Tỉnh Phú Thọ",viet-tri,ward,06
00338,"Phúc Yên","Phường Phúc Yên, Tỉnh Phú Thọ",phuc-yen,ward,06
00417,"Thanh Miếu","Phường Thanh Miếu, Tỉnh Phú Thọ",thanh-mieu,ward,06
00428,"Nông Trang","Phường Nông Trang, Tỉnh Phú Thọ",nong-trang,ward,06
00444,"Vĩnh Yên","Phường Vĩnh Yên, Tỉnh Phú Thọ",vinh-yen,ward,06
00462,"Xuân Hòa","Phường Xuân Hòa, Tỉnh Phú Thọ",xuan-hoa,ward,06
00581,"Vĩnh Phú","Xã Vĩnh Phú, Tỉnh Phú Thọ",vinh-phu,commune,06
00627,"Xuân Lãng","Xã Xuân Lãng, Tỉnh Phú Thọ",xuan-lang,commune,06
00630,"Tam Dương","Xã Tam Dương, Tỉnh Phú Thọ",tam-duong,commune,06
00644,"Vĩnh Tường","Xã Vĩnh Tường, Tỉnh Phú Thọ",vinh-tuong,commune,06
00654,"Cẩm Khê","Xã Cẩm Khê, Tỉnh Phú Thọ",cam-khe,commune,06
00678,"Bình Nguyên","Xã Bình Nguyên, Tỉnh Phú Thọ",binh-nguyen,commune,06
00709,"Lương Sơn","Xã Lương Sơn, Tỉnh Phú Thọ",luong-son,commune,06
00718,"Phù Ninh","Xã Phù Ninh, Tỉnh Phú Thọ",phu-ninh,commune,06
00781,"Thổ Tang","Xã Thổ Tang, Tỉnh Phú Thọ",tho-tang,commune,06
00825,"Tân Lạc","Xã Tân Lạc, Tỉnh Phú Thọ",tan-lac,commune,06
00833,"Tu Vũ","Xã Tu Vũ, Tỉnh Phú Thọ",tu-vu,commune,06
00855,"Phùng Nguyên","Xã Phùng Nguyên, Tỉnh Phú Thọ",phung-nguyen,commune,06
00892,"Tam Hồng","Xã Tam Hồng, Tỉnh Phú Thọ",tam-hong,commune,06
00926,"Yên Lạc","Xã Yên Lạc, Tỉnh Phú Thọ",yen-lac,commune,06
00965,"Vĩnh Hưng","Xã Vĩnh Hưng, Tỉnh Phú Thọ",vinh-hung,commune,06
00968,"Thanh Sơn","Xã Thanh Sơn, Tỉnh Phú Thọ",thanh-son,commune,06
00979,"Chân Mộng","Xã Chân Mộng, Tỉnh Phú Thọ",chan-mong,commune,06
01005,"Tiên Lương","Xã Tiên Lương, Tỉnh Phú Thọ",tien-luong,commune,06
01036,"Vân Phú","Phường Vân Phú, Tỉnh Phú Thọ",van-phu,ward,06
01045,"Tam Dương Bắc","Xã Tam Dương Bắc, Tỉnh Phú Thọ",tam-duong-bac,commune,06
01048,"Tề Lỗ","Xã Tề Lỗ, Tỉnh Phú Thọ",te-lo,commune,06
