code,name,fullName,slug,type,provinceCode
00007,"Hạc Thành","Phường Hạc Thành, Tỉnh Thanh Hoá",hac-thanh,ward,07
00121,"Sầm Sơn","Phường Sầm Sơn, Tỉnh Thanh Hoá",sam-son,ward,07
00208,"Quảng Phú","Phường Quảng Phú, Tỉnh Thanh Hoá",quang-phu,ward,07
00279,"Vạn Lộc","Xã Vạn Lộc, Tỉnh Thanh Hoá",van-loc,commune,07
00349,"Hàm Rồng","Phường Hàm Rồng, Tỉnh Thanh Hoá",ham-rong,ward,07
00376,"Đông Quang","Phường Đông Quang, Tỉnh Thanh Hoá",ong-quang,ward,07
00410,"Đông Sơn","Phường Đông Sơn, Tỉnh Thanh Hoá",ong-son,ward,07
00415,"Tĩnh Gia","Phường Tĩnh Gia, Tỉnh Thanh Hoá",tinh-gia,ward,07
00426,"Đông Tiến","Phường Đông Tiến, Tỉnh Thanh Hoá",ong-tien,ward,07
00474,"Triệu Sơn","Xã Triệu Sơn, Tỉnh Thanh Hoá",trieu-son,commune,07
00568,"Nông Cống","Xã Nông Cống, Tỉnh Thanh Hoá",nong-cong,commune,07
00611,"Thiệu Hóa","Xã Thiệu Hóa, Tỉnh Thanh Hoá",thieu-hoa,commune,07
00631,"Ngọc Sơn","Phường Ngọc Sơn, Tỉnh Thanh Hoá",ngoc-son,ward,07
00650,"Nga Sơn","Xã Nga Sơn, Tỉnh Thanh Hoá",nga-son,commune,07
00692,"Bỉm Sơn","Phường Bỉm Sơn, Tỉnh Thanh Hoá",bim-son,ward,07
00732,"Sao Vàng","Xã Sao Vàng, Tỉnh Thanh Hoá",sao-vang,commune,07
00758,"Hoằng Hóa","Xã Hoằng Hóa, Tỉnh Thanh Hoá",hoang-hoa,commune,07
00839,"Hoa Lộc","Xã Hoa Lộc, Tỉnh Thanh Hoá",hoa-loc,commune,07
00868,"Tiên Trang","Xã Tiên Trang, Tỉnh Thanh Hoá",tien-trang,commune,07
00869,"Kim Tân","Xã Kim Tân, Tỉnh Thanh Hoá",kim-tan,commune,07
00885,"Lưu Vệ","Xã Lưu Vệ, Tỉnh Thanh Hoá",luu-ve,commune,07
00886,"Vĩnh Lộc","Xã Vĩnh Lộc, Tỉnh Thanh Hoá",vinh-loc,commune,07
00913,"Thọ Phú","Xã Thọ Phú, Tỉnh Thanh Hoá",tho-phu,commune,07
00929,"Thạch Bình","Xã Thạch Bình, Tỉnh Thanh Hoá",thach-binh,commune,07
00933,"Ngọc Lặc","Xã Ngọc Lặc, Tỉnh Thanh Hoá",ngoc-lac,commune,07
00977,"Yên Định","Xã Yên Định, Tỉnh Thanh Hoá",yen-inh,commune,07
00990,"Hoằng Thanh","Xã Hoằng Thanh, Tỉnh Thanh Hoá",hoang-thanh,commune,07
01007,"Quảng Bình","Xã Quảng Bình, Tỉnh Thanh Hoá",quang-binh,commune,07
01029,"Nam Sầm Sơn","Phường Nam Sầm Sơn, Tỉnh Thanh Hoá",nam-sam-son,ward,07
01099,"Hoằng Lộc","Xã Hoằng Lộc, Tỉnh Thanh Hoá",hoang-loc,commune,07
01104,"Xuân Lập","Xã Xuân Lập, Tỉnh Thanh Hoá",xuan-lap,commune,07
01161,"Trung Chính","Xã Trung Chính, Tỉnh Thanh Hoá",trung-chinh,commune,07
01209,"Nguyệt Viên","Phường Nguyệt Viên, Tỉnh Thanh Hoá",nguyet-vien,ward,07
01210,"Thọ Xuân","Xã Thọ Xuân, Tỉnh Thanh Hoá",tho-xuan,commune,07
01244,"Hoằng Châu","Xã Hoằng Châu, Tỉnh Thanh Hoá",hoang-chau,commune,07
01250,"Thiệu Quang","Xã Thiệu Quang, Tỉnh Thanh Hoá",thieu-quang,commune,07
01251,"Hải Bình","Phường Hải Bình, Tỉnh Thanh Hoá",hai-binh,ward,07
01255,"Quảng Ngọc","Xã Quảng Ngọc, Tỉnh Thanh Hoá",quang-ngoc,commune,07
01265,"Thường Xuân","Xã Thường Xuân, Tỉnh Thanh Hoá",thuong-xuan,commune,07
01277,"Hậu Lộc","Xã Hậu Lộc, Tỉnh Thanh Hoá",hau-loc,commune,07
01292,"Lam Sơn","Xã Lam Sơn, Tỉnh Thanh Hoá",lam-son,commune,07
01296,"Hợp Tiến","Xã Hợp Tiến, Tỉnh Thanh Hoá",hop-tien,commune,07
01308,"Nghi Sơn","Phường Nghi Sơn, Tỉnh Thanh Hoá",nghi-son,ward,07
01318,"Quang Trung","Phường Quang Trung, Tỉnh Thanh Hoá",quang-trung,ward,07
01338,"Hoằng Giang","Xã Hoằng Giang, Tỉnh Thanh Hoá",hoang-giang,commune,07
01360,"Thiệu Trung","Xã Thiệu Trung, Tỉnh Thanh Hoá",thieu-trung,commune,07
01373,"Biện Thượng","Xã Biện Thượng, Tỉnh Thanh Hoá",bien-thuong,commune,07
01376,"Cẩm Thạch","Xã Cẩm Thạch, Tỉnh Thanh Hoá",cam-thach,commune,07
01438,"Thọ Long","Xã Thọ Long, Tỉnh Thanh Hoá",tho-long,commune,07
01463,"Quảng Chính","Xã Quảng Chính, Tỉnh Thanh Hoá",quang-chinh,commune,07
01478,"Cẩm Thủy","Xã Cẩm Thủy, Tỉnh Thanh Hoá",cam-thuy,commune,07
01494,"Đông Thành","Xã Đông Thành, Tỉnh Thanh Hoá",ong-thanh,commune,07
01504,"Hà Trung","Xã Hà Trung, Tỉnh Thanh Hoá",ha-trung,commune,07
01526,"Thiệu Toán","Xã Thiệu Toán, Tỉnh Thanh Hoá",thieu-toan,commune,07
01540,"Hoằng Tiến","Xã Hoằng Tiến, Tỉnh Thanh Hoá",hoang-tien,commune,07
01565,"Minh Sơn","Xã Minh Sơn, Tỉnh Thanh Hoá",minh-son,commune,07
01573,"Yên Trường","Xã Yên Trường, Tỉnh Thanh Hoá",yen-truong,commune,07
01577,"Công Chính","Xã Công Chính, Tỉnh Thanh Hoá",cong-chinh,commune,07
01598,"Thăng Bình","Xã Thăng Bình, Tỉnh Thanh Hoá",thang-binh,commune,07
01611,"Tống Sơn","Xã Tống Sơn, Tỉnh Thanh Hoá",tong-son,commune,07
01614,"An Nông","Xã An Nông, Tỉnh Thanh Hoá",an-nong,commune,07
01623,"Quý Lộc","Xã Quý Lộc, Tỉnh Thanh Hoá",quy-loc,commune,07
01634,"Định Hòa","Xã Định Hòa, Tỉnh Thanh Hoá",inh-hoa,commune,07
01635,"Định Tân","Xã Định Tân, Tỉnh Thanh Hoá",inh-tan,commune,07
01667,"Thắng Lợi","Xã Thắng Lợi, Tỉnh Thanh Hoá",thang-loi,commune,07
01671,"Thọ Lập","Xã Thọ Lập, Tỉnh Thanh Hoá",tho-lap,commune,07
01683,"Ngọc Liên","Xã Ngọc Liên, Tỉnh Thanh Hoá",ngoc-lien,commune,07
01685,"Quảng Yên","Xã Quảng Yên, Tỉnh Thanh Hoá",quang-yen,commune,07
01701,"Hoằng Sơn","Xã Hoằng Sơn, Tỉnh Thanh Hoá",hoang-son,commune,07
01710,"Tây Đô","Xã Tây Đô, Tỉnh Thanh Hoá",tay-o,commune,07
01711,"Tân Ninh","Xã Tân Ninh, Tỉnh Thanh Hoá",tan-ninh,commune,07
01741,"Hồ Vương","Xã Hồ Vương, Tỉnh Thanh Hoá",ho-vuong,commune,07
01746,"Thành Vinh","Xã Thành Vinh, Tỉnh Thanh Hoá",thanh-vinh,commune,07
01775,"Xuân Hòa","Xã Xuân Hòa, Tỉnh Thanh Hoá",xuan-hoa,commune,07
01781,"Quảng Ninh","Xã Quảng Ninh, Tỉnh Thanh Hoá",quang-ninh,commune,07
01787,"Nga Thắng","Xã Nga Thắng, Tỉnh Thanh Hoá",nga-thang,commune,07
01788,"Xuân Tín","Xã Xuân Tín, Tỉnh Thanh Hoá",xuan-tin,commune,07
01795,"Triệu Lộc","Xã Triệu Lộc, Tỉnh Thanh Hoá",trieu-loc,commune,07
01804,"Như Thanh","Xã Như Thanh, Tỉnh Thanh Hoá",nhu-thanh,commune,07
01805,"Đào Duy Tư","Phường Đào Duy Tư, Tỉnh Thanh Hoá",ao-duy-tu,ward,07
01818,"Cẩm Tú","Xã Cẩm Tú, Tỉnh Thanh Hoá",cam-tu,commune,07
01869,"Thiệu Tiến","Xã Thiệu Tiến, Tỉnh Thanh Hoá",thieu-tien,commune,07
01900,"Nga An","Xã Nga An, Tỉnh Thanh Hoá",nga-an,commune,07
01908,"Lĩnh Toại","Xã Lĩnh Toại, Tỉnh Thanh Hoá",linh-toai,commune,07
01956,"Thọ Ngọc","Xã Thọ Ngọc, Tỉnh Thanh Hoá",tho-ngoc,commune,07
