code,name,fullName,slug,type,provinceCode
00215,"Lào Cai","Phường Lào Cai, Tỉnh Lào Cai",lao-cai,ward,09
00282,"Yên Bái","Phường Yên Bái, Tỉnh Lào Cai",yen-bai,ward,09
00306,"Cam Đường","Phường Cam Đường, Tỉnh Lào Cai",cam-duong,ward,09
00875,"Mậu A","Xã Mậu A, Tỉnh Lào Cai",mau-a,commune,09
01178,"Thác Bà","Xã Thác Bà, Tỉnh Lào Cai",thac-ba,commune,09
01232,"Bảo Hà","Xã Bảo Hà, Tỉnh Lào Cai",bao-ha,commune,09
01320,"Bảo Thắng","Xã Bảo Thắng, Tỉnh Lào Cai",bao-thang,commune,09
01480,"Bắc Hà","Xã Bắc Hà, Tỉnh Lào Cai",bac-ha,commune,09
01503,"Lục Yên","Xã Lục Yên, Tỉnh Lào Cai",luc-yen,commune,09
01569,"Yên Bình","Xã Yên Bình, Tỉnh Lào Cai",yen-binh,commune,09
01576,"Trấn Yên","Xã Trấn Yên, Tỉnh Lào Cai",tran-yen,commune,09
01630,"Gia Phú","Xã Gia Phú, Tỉnh Lào Cai",gia-phu,commune,09
01724,"Bát Xát","Xã Bát Xát, Tỉnh Lào Cai",bat-xat,commune,09
01726,"Xuân Quang","Xã Xuân Quang, Tỉnh Lào Cai",xuan-quang,commune,09
01756,"Trung Tâm","Phường Trung Tâm, Tỉnh Lào Cai",trung-tam,ward,09
01782,"Văn Phú","Phường Văn Phú, Tỉnh Lào Cai",van-phu,ward,09
01849,"Mường Lai","Xã Mường Lai, Tỉnh Lào Cai",muong-lai,commune,09
01882,"Cầu Thia","Phường Cầu Thia, Tỉnh Lào Cai",cau-thia,ward,09
01918,"Xuân Ái","Xã Xuân Ái, Tỉnh Lào Cai",xuan-ai,commune,09
01947,"Mường Khương","Xã Mường Khương, Tỉnh Lào Cai",muong-khuong,commune,09
01961,"Bảo Ái","Xã Bảo Ái, Tỉnh Lào Cai",bao-ai,commune,09
01987,"Văn Bàn","Xã Văn Bàn, Tỉnh Lào Cai",van-ban,commune,09
01998,"Văn Chấn","Xã Văn Chấn, Tỉnh Lào Cai",van-chan,commune,09
02045,"Âu Lâu","Phường Âu Lâu, Tỉnh Lào Cai",au-lau,ward,09
02072,"Sa Pa","Phường Sa Pa, Tỉnh Lào Cai",sa-pa,ward,09
02074,"Si Ma Cai","Xã Si Ma Cai, Tỉnh Lào Cai",si-ma-cai,commune,09
02140,"Đông Cuông","Xã Đông Cuông, Tỉnh Lào Cai",dong-cuong,commune,09
02163,"Bảo Yên","Xã Bảo Yên, Tỉnh Lào Cai",bao-yen,commune,09
02231,"Tằng Lỏong","Xã Tằng Lỏong, Tỉnh Lào Cai",tang-loong,commune,09
02253,"Tân Lĩnh","Xã Tân Lĩnh, Tỉnh Lào Cai",tan-linh,commune,09
02287,"Lâm Thượng","Xã Lâm Thượng, Tỉnh Lào Cai",lam-thuong,commune,09
02290,"Púng Luông","Xã Púng Luông, Tỉnh Lào Cai",pung-luong,commune,09
02328,"Nghĩa Tâm","Xã Nghĩa Tâm, Tỉnh Lào Cai",nghia-tam,commune,09
02343,"Chấn Thịnh","Xã Chấn Thịnh, Tỉnh Lào Cai",chan-thinh,commune,09
02349,"Nghĩa Lộ","Phường Nghĩa Lộ, Tỉnh Lào Cai",nghia-lo,ward,09
02351,"Tả Van","Xã Tả Van, Tỉnh Lào Cai",ta-van,commune,09
02360,"Bản Lầu","Xã Bản Lầu, Tỉnh Lào Cai",ban-lau,commune,09
02399,"Võ Lao","Xã Võ Lao, Tỉnh Lào Cai",vo-lao,commune,09
02409,"Nam Cường","Phường Nam Cường, Tỉnh Lào Cai",nam-cuong,ward,09
02421,"Khánh Hòa","Xã Khánh Hòa, Tỉnh Lào Cai",khanh-hoa,commune,09
