code,name,fullName,slug,type,provinceCode
00067,"Bắc Giang","Phường Bắc Giang, Tỉnh Bắc Ninh",bac-giang,ward,10
00149,"Hiệp Hoà","Xã Hiệp Hoà, Tỉnh Bắc Ninh",hiep-hoa,commune,10
00175,"Kinh Bắc","Phường Kinh Bắc, Tỉnh Bắc Ninh",kinh-bac,ward,10
00176,"Đại Đồng","Xã Đại Đồng, Tỉnh Bắc Ninh",dai-dong,commune,10
00238,"Xuân Cẩm","Xã Xuân Cẩm, Tỉnh Bắc Ninh",xuan-cam,commune,10
00259,"Hợp Thịnh","Xã Hợp Thịnh, Tỉnh Bắc Ninh",hop-thinh,commune,10
00311,"Võ Cường","Phường Võ Cường, Tỉnh Bắc Ninh",vo-cuong,ward,10
00320,"Từ Sơn","Phường Từ Sơn, Tỉnh Bắc Ninh",tu-son,ward,10
00341,"Yên Phong","Xã Yên Phong, Tỉnh Bắc Ninh",yen-phong,commune,10
00342,"Lạng Giang","Xã Lạng Giang, Tỉnh Bắc Ninh",lang-giang,commune,10
00404,"Việt Yên","Phường Việt Yên, Tỉnh Bắc Ninh",viet-yen,ward,10
00406,"Tiên Lục","Xã Tiên Lục, Tỉnh Bắc Ninh",tien-luc,commune,10
00408,"Bảo Đài","Xã Bảo Đài, Tỉnh Bắc Ninh",bao-dai,commune,10
00420,"Chũ","Phường Chũ, Tỉnh Bắc Ninh",chu,ward,10
00422,"Vân Hà","Phường Vân Hà, Tỉnh Bắc Ninh",van-ha,ward,10
00423,"Lục Nam","Xã Lục Nam, Tỉnh Bắc Ninh",luc-nam,commune,10
00441,"Ngọc Thiện","Xã Ngọc Thiện, Tỉnh Bắc Ninh",ngoc-thien,commune,10
00456,"Nếnh","Phường Nếnh, Tỉnh Bắc Ninh",nenh,ward,10
00503,"Hoàng Vân","Xã Hoàng Vân, Tỉnh Bắc Ninh",hoang-van,commune,10
00514,"Thuận Thành","Phường Thuận Thành, Tỉnh Bắc Ninh",thuan-thanh,ward,10
00530,"Đa Mai","Phường Đa Mai, Tỉnh Bắc Ninh",da-mai,ward,10
00557,"Tân Yên","Xã Tân Yên, Tỉnh Bắc Ninh",tan-yen,commune,10
00562,"Phù Khê","Phường Phù Khê, Tỉnh Bắc Ninh",phu-khe,ward,10
00677,"Mỹ Thái","Xã Mỹ Thái, Tỉnh Bắc Ninh",my-thai,commune,10
00690,"Đồng Nguyên","Phường Đồng Nguyên, Tỉnh Bắc Ninh",dong-nguyen,ward,10
00704,"Vũ Ninh","Phường Vũ Ninh, Tỉnh Bắc Ninh",vu-ninh,ward,10
00705,"Tự Lạn","Phường Tự Lạn, Tỉnh Bắc Ninh",tu-lan,ward,10
00725,"Tiên Du","Xã Tiên Du, Tỉnh Bắc Ninh",tien-du,commune,10
00746,"Yên Dũng","Phường Yên Dũng, Tỉnh Bắc Ninh",yen-dung,ward,10
00771,"Nam Sơn","Phường Nam Sơn, Tỉnh Bắc Ninh",nam-son,ward,10
00792,"Mão Điền","Phường Mão Điền, Tỉnh Bắc Ninh",mao-dien,ward,10
00796,"Gia Bình","Xã Gia Bình, Tỉnh Bắc Ninh",gia-binh,commune,10
00803,"Kép","Xã Kép, Tỉnh Bắc Ninh",kep,commune,10
00810,"Lục Ngạn","Xã Lục Ngạn, Tỉnh Bắc Ninh",luc-ngan,commune,10
