code,name,fullName,slug,type,provinceCode
00039,"Trường Vinh","Phường Trường Vinh, Tỉnh Nghệ An",truong-vinh,ward,11
00065,"Thành Vinh","Phường Thành Vinh, Tỉnh Nghệ An",thanh-vinh,ward,11
00234,"Vinh Phú","Phường Vinh Phú, Tỉnh Nghệ An",vinh-phu,ward,11
00240,"Quỳnh Lưu","Xã Quỳnh Lưu, Tỉnh Nghệ An",quynh-luu,commune,11
00253,"Quỳnh Phú","Xã Quỳnh Phú, Tỉnh Nghệ An",quynh-phu,commune,11
00304,"Vinh Lộc","Phường Vinh Lộc, Tỉnh Nghệ An",vinh-loc,ward,11
00328,"Cửa Lò","Phường Cửa Lò, Tỉnh Nghệ An",cua-lo,ward,11
00345,"Diễn Châu","Xã Diễn Châu, Tỉnh Nghệ An",dien-chau,commune,11
00350,"Đại Đồng","Xã Đại Đồng, Tỉnh Nghệ An",ai-ong,commune,11
00364,"Đô Lương","Xã Đô Lương, Tỉnh Nghệ An",o-luong,commune,11
00392,"Quỳnh Anh","Xã Quỳnh Anh, Tỉnh Nghệ An",quynh-anh,commune,11
00394,"Vinh Hưng","Phường Vinh Hưng, Tỉnh Nghệ An",vinh-hung,ward,11
00424,"Quỳnh Mai","Phường Quỳnh Mai, Tỉnh Nghệ An",quynh-mai,ward,11
00454,"Hùng Châu","Xã Hùng Châu, Tỉnh Nghệ An",hung-chau,commune,11
00457,"Kim Liên","Xã Kim Liên, Tỉnh Nghệ An",kim-lien,commune,11
00499,"Hưng Nguyên","Xã Hưng Nguyên, Tỉnh Nghệ An",hung-nguyen,commune,11
00634,"Yên Thành","Xã Yên Thành, Tỉnh Nghệ An",yen-thanh,commune,11
00658,"Hợp Minh","Xã Hợp Minh, Tỉnh Nghệ An",hop-minh,commune,11
00687,"Đông Thành","Xã Đông Thành, Tỉnh Nghệ An",ong-thanh,commune,11
00691,"Nghi Lộc","Xã Nghi Lộc, Tỉnh Nghệ An",nghi-loc,commune,11
00724,"Vạn An","Xã Vạn An, Tỉnh Nghệ An",van-an,commune,11
00739,"Hoàng Mai","Phường Hoàng Mai, Tỉnh Nghệ An",hoang-mai,ward,11
00743,"Minh Châu","Xã Minh Châu, Tỉnh Nghệ An",minh-chau,commune,11
00753,"Vân Tụ","Xã Vân Tụ, Tỉnh Nghệ An",van-tu,commune,11
00774,"An Châu","Xã An Châu, Tỉnh Nghệ An",an-chau,commune,11
00783,"Hải Châu","Xã Hải Châu, Tỉnh Nghệ An",hai-chau,commune,11
00785,"Quỳnh Văn","Xã Quỳnh Văn, Tỉnh Nghệ An",quynh-van,commune,11
00802,"Tam Hợp","Xã Tam Hợp, Tỉnh Nghệ An",tam-hop,commune,11
00864,"Đức Châu","Xã Đức Châu, Tỉnh Nghệ An",uc-chau,commune,11
00866,"Thiên Nhẫn","Xã Thiên Nhẫn, Tỉnh Nghệ An",thien-nhan,commune,11
00878,"Xuân Lâm","Xã Xuân Lâm, Tỉnh Nghệ An",xuan-lam,commune,11
00887,"Thuần Trung","Xã Thuần Trung, Tỉnh Nghệ An",thuan-trung,commune,11
00939,"Bạch Hà","Xã Bạch Hà, Tỉnh Nghệ An",bach-ha,commune,11
00948,"Văn Hiến","Xã Văn Hiến, Tỉnh Nghệ An",van-hien,commune,11
01038,"Quảng Châu","Xã Quảng Châu, Tỉnh Nghệ An",quang-chau,commune,11
01060,"Bình Minh","Xã Bình Minh, Tỉnh Nghệ An",binh-minh,commune,11
01066,"Quỳ Hợp","Xã Quỳ Hợp, Tỉnh Nghệ An",quy-hop,commune,11
01075,"Quỳnh Sơn","Xã Quỳnh Sơn, Tỉnh Nghệ An",quynh-son,commune,11
01083,"Hưng Nguyên Nam","Xã Hưng Nguyên Nam, Tỉnh Nghệ An",hung-nguyen-nam,commune,11
01138,"Giai Lạc","Xã Giai Lạc, Tỉnh Nghệ An",giai-lac,commune,11
01151,"Quỳnh Tam","Xã Quỳnh Tam, Tỉnh Nghệ An",quynh-tam,commune,11
01236,"Bích Hào","Xã Bích Hào, Tỉnh Nghệ An",bich-hao,commune,11
01241,"Tân Mai","Phường Tân Mai, Tỉnh Nghệ An",tan-mai,ward,11
01297,"Tân Châu","Xã Tân Châu, Tỉnh Nghệ An",tan-chau,commune,11
01307,"Tân Kỳ","Xã Tân Kỳ, Tỉnh Nghệ An",tan-ky,commune,11
01361,"Hoa Quân","Xã Hoa Quân, Tỉnh Nghệ An",hoa-quan,commune,11
01428,"Lam Thành","Xã Lam Thành, Tỉnh Nghệ An",lam-thanh,commune,11
01431,"Đông Lộc","Xã Đông Lộc, Tỉnh Nghệ An",ong-loc,commune,11
01433,"Trung Lộc","Xã Trung Lộc, Tỉnh Nghệ An",trung-loc,commune,11
01517,"Quan Thành","Xã Quan Thành, Tỉnh Nghệ An",quan-thanh,commune,11
01552,"Anh Sơn","Xã Anh Sơn, Tỉnh Nghệ An",anh-son,commune,11
01585,"Bạch Ngọc","Xã Bạch Ngọc, Tỉnh Nghệ An",bach-ngoc,commune,11
01597,"Tân Phú","Xã Tân Phú, Tỉnh Nghệ An",tan-phu,commune,11
01618,"Đông Hiếu","Xã Đông Hiếu, Tỉnh Nghệ An",ong-hieu,commune,11
01641,"Văn Kiều","Xã Văn Kiều, Tỉnh Nghệ An",van-kieu,commune,11
01647,"Phúc Lộc","Xã Phúc Lộc, Tỉnh Nghệ An",phuc-loc,commune,11
01665,"Kim Bảng","Xã Kim Bảng, Tỉnh Nghệ An",kim-bang,commune,11
01688,"Yên Xuân","Xã Yên Xuân, Tỉnh Nghệ An",yen-xuan,commune,11
01754,"Thái Hòa","Phường Thái Hòa, Tỉnh Nghệ An",thai-hoa,ward,11
01791,"Lương Sơn","Xã Lương Sơn, Tỉnh Nghệ An",luong-son,commune,11
01796,"Tam Đồng","Xã Tam Đồng, Tỉnh Nghệ An",tam-ong,commune,11
