code,name,fullName,slug,type,provinceCode
00011,"Nam Định","Phường Nam Định, Tỉnh Ninh Bình",nam-dinh,ward,13
00036,"Hoa Lư","Phường Hoa Lư, Tỉnh Ninh Bình",hoa-lu,ward,13
00261,"Xuân Trường","Xã Xuân Trường, Tỉnh Ninh Bình",xuan-truong,commune,13
00287,"Trường Thi","Phường Trường Thi, Tỉnh Ninh Bình",truong-thi,ward,13
00325,"Hải Hưng","Xã Hải Hưng, Tỉnh Ninh Bình",hai-hung,commune,13
00354,"Phủ Lý","Phường Phủ Lý, Tỉnh Ninh Bình",phu-ly,ward,13
00492,"Xuân Hưng","Xã Xuân Hưng, Tỉnh Ninh Bình",xuan-hung,commune,13
00494,"Nam Hoa Lư","Phường Nam Hoa Lư, Tỉnh Ninh Bình",nam-hoa-lu,ward,13
00497,"Ý Yên","Xã Ý Yên, Tỉnh Ninh Bình",y-yen,commune,13
00544,"Hải Anh","Xã Hải Anh, Tỉnh Ninh Bình",hai-anh,commune,13
00671,"Tây Hoa Lư","Phường Tây Hoa Lư, Tỉnh Ninh Bình",tay-hoa-lu,ward,13
00675,"Giao Thuỷ","Xã Giao Thuỷ, Tỉnh Ninh Bình",giao-thuy,commune,13
00689,"Xuân Giang","Xã Xuân Giang, Tỉnh Ninh Bình",xuan-giang,commune,13
00713,"Hải Hậu","Xã Hải Hậu, Tỉnh Ninh Bình",hai-hau,commune,13
00729,"Hải Tiến","Xã Hải Tiến, Tỉnh Ninh Bình",hai-tien,commune,13
00750,"Hải Xuân","Xã Hải Xuân, Tỉnh Ninh Bình",hai-xuan,commune,13
00791,"Yên Cường","Xã Yên Cường, Tỉnh Ninh Bình",yen-cuong,commune,13
00831,"Giao Hoà","Xã Giao Hoà, Tỉnh Ninh Bình",giao-hoa,commune,13
00863,"Phù Vân","Phường Phù Vân, Tỉnh Ninh Bình",phu-van,ward,13
00872,"Xuân Hồng","Xã Xuân Hồng, Tỉnh Ninh Bình",xuan-hong,commune,13
00900,"Cổ Lễ","Xã Cổ Lễ, Tỉnh Ninh Bình",co-le,commune,13
00904,"Yên Khánh","Xã Yên Khánh, Tỉnh Ninh Bình",yen-khanh,commune,13
00917,"Duy Tiên","Phường Duy Tiên, Tỉnh Ninh Bình",duy-tien,ward,13
00921,"Nam Trực","Xã Nam Trực, Tỉnh Ninh Bình",nam-truc,commune,13
00935,"Vũ Dương","Xã Vũ Dương, Tỉnh Ninh Bình",vu-duong,commune,13
00953,"Cát Thành","Xã Cát Thành, Tỉnh Ninh Bình",cat-thanh,commune,13
00960,"Bình An","Xã Bình An, Tỉnh Ninh Bình",binh-an,commune,13
00969,"Ninh Giang","Xã Ninh Giang, Tỉnh Ninh Bình",ninh-giang,commune,13
00975,"Nghĩa Hưng","Xã Nghĩa Hưng, Tỉnh Ninh Bình",nghia-hung,commune,13
00997,"Nam Minh","Xã Nam Minh, Tỉnh Ninh Bình",nam-minh,commune,13
01001,"Mỹ Lộc","Phường Mỹ Lộc, Tỉnh Ninh Bình",my-loc,ward,13
01010,"Nam Lý","Xã Nam Lý, Tỉnh Ninh Bình",nam-ly,commune,13
01023,"Nam Ninh","Xã Nam Ninh, Tỉnh Ninh Bình",nam-ninh,commune,13
01026,"Phát Diệm","Xã Phát Diệm, Tỉnh Ninh Bình",phat-diem,commune,13
01049,"Phong Doanh","Xã Phong Doanh, Tỉnh Ninh Bình",phong-doanh,commune,13
01106,"Vị Khê","Phường Vị Khê, Tỉnh Ninh Bình",vi-khe,ward,13
01111,"Vĩnh Trụ","Xã Vĩnh Trụ, Tỉnh Ninh Bình",vinh-tru,commune,13
01128,"Yên Đồng","Xã Yên Đồng, Tỉnh Ninh Bình",yen-dong,commune,13
01135,"Vạn Thắng","Xã Vạn Thắng, Tỉnh Ninh Bình",van-thang,commune,13
01137,"Hồng Quang","Phường Hồng Quang, Tỉnh Ninh Bình",hong-quang,ward,13
01162,"Yên Mô","Xã Yên Mô, Tỉnh Ninh Bình",yen-mo,commune,13
01171,"Bình Lục","Xã Bình Lục, Tỉnh Ninh Bình",binh-luc,commune,13
01186,"Tân Minh","Xã Tân Minh, Tỉnh Ninh Bình",tan-minh,commune,13
01205,"Đồng Văn","Phường Đồng Văn, Tỉnh Ninh Bình",dong-van,ward,13
01208,"Đông Hoa Lư","Phường Đông Hoa Lư, Tỉnh Ninh Bình",dong-hoa-lu,ward,13
01226,"Nam Xang","Xã Nam Xang, Tỉnh Ninh Bình",nam-xang,commune,13
01249,"Giao Ninh","Xã Giao Ninh, Tỉnh Ninh Bình",giao-ninh,commune,13
01259,"Hải Thịnh","Xã Hải Thịnh, Tỉnh Ninh Bình",hai-thinh,commune,13
01271,"Châu Sơn","Phường Châu Sơn, Tỉnh Ninh Bình",chau-son,ward,13
01272,"Hà Nam","Phường Hà Nam, Tỉnh Ninh Bình",ha-nam,ward,13
01275,"Minh Thái","Xã Minh Thái, Tỉnh Ninh Bình",minh-thai,commune,13
01282,"Bình Mỹ","Xã Bình Mỹ, Tỉnh Ninh Bình",binh-my,commune,13
01286,"Nho Quan","Xã Nho Quan, Tỉnh Ninh Bình",nho-quan,commune,13
01306,"Quỹ Nhất","Xã Quỹ Nhất, Tỉnh Ninh Bình",quy-nhat,commune,13
01313,"Ninh Cường","Xã Ninh Cường, Tỉnh Ninh Bình",ninh-cuong,commune,13
01341,"Bình Sơn","Xã Bình Sơn, Tỉnh Ninh Bình",binh-son,commune,13
01348,"Lê Hồ","Phường Lê Hồ, Tỉnh Ninh Bình",le-ho,ward,13
01357,"Lý Nhân","Xã Lý Nhân, Tỉnh Ninh Bình",ly-nhan,commune,13
01374,"Yên Từ","Xã Yên Từ, Tỉnh Ninh Bình",yen-tu,commune,13
01380,"Nam Hồng","Xã Nam Hồng, Tỉnh Ninh Bình",nam-hong,commune,13
01381,"Đông A","Phường Đông A, Tỉnh Ninh Bình",dong-a,ward,13
01400,"Trung Sơn","Phường Trung Sơn, Tỉnh Ninh Bình",trung-son,ward,13
01440,"Bình Minh","Xã Bình Minh, Tỉnh Ninh Bình",binh-minh,commune,13
01442,"Thiên Trường","Phường Thiên Trường, Tỉnh Ninh Bình",thien-truong,ward,13
01448,"Bắc Lý","Xã Bắc Lý, Tỉnh Ninh Bình",bac-ly,commune,13
01449,"Nghĩa Lâm","Xã Nghĩa Lâm, Tỉnh Ninh Bình",nghia-lam,commune,13
01450,"Rạng Đông","Xã Rạng Đông, Tỉnh Ninh Bình",rang-dong,commune,13
01452,"Đồng Thịnh","Xã Đồng Thịnh, Tỉnh Ninh Bình",dong-thinh,commune,13
01458,"Thành Nam","Phường Thành Nam, Tỉnh Ninh Bình",thanh-nam,ward,13
01519,"Hiển Khánh","Xã Hiển Khánh, Tỉnh Ninh Bình",hien-khanh,commune,13
01520,"Minh Tân","Xã Minh Tân, Tỉnh Ninh Bình",minh-tan,commune,13
01532,"Liên Minh","Xã Liên Minh, Tỉnh Ninh Bình",lien-minh,commune,13
01535,"Giao Phúc","Xã Giao Phúc, Tỉnh Ninh Bình",giao-phuc,commune,13
01551,"Thanh Lâm","Xã Thanh Lâm, Tỉnh Ninh Bình",thanh-lam,commune,13
01575,"Giao Minh","Xã Giao Minh, Tỉnh Ninh Bình",giao-minh,commune,13
01594,"Gia Viễn","Xã Gia Viễn, Tỉnh Ninh Bình",gia-vien,commune,13
01613,"Lai Thành","Xã Lai Thành, Tỉnh Ninh Bình",lai-thanh,commune,13
01616,"Nghĩa Sơn","Xã Nghĩa Sơn, Tỉnh Ninh Bình",nghia-son,commune,13
01636,"Yên Thắng","Phường Yên Thắng, Tỉnh Ninh Bình",yen-thang,ward,13
01639,"Nam Đồng","Xã Nam Đồng, Tỉnh Ninh Bình",nam-dong,commune,13
01642,"Duy Tân","Phường Duy Tân, Tỉnh Ninh Bình",duy-tan,ward,13
01649,"Hồng Phong","Xã Hồng Phong, Tỉnh Ninh Bình",hong-phong,commune,13
01660,"Giao Hưng","Xã Giao Hưng, Tỉnh Ninh Bình",giao-hung,commune,13
01684,"Liêm Tuyền","Phường Liêm Tuyền, Tỉnh Ninh Bình",liem-tuyen,ward,13
01687,"Liêm Hà","Xã Liêm Hà, Tỉnh Ninh Bình",liem-ha,commune,13
01691,"Nguyễn Uý","Phường Nguyễn Uý, Tỉnh Ninh Bình",nguyen-uy,ward,13
01742,"Tiên Sơn","Phường Tiên Sơn, Tỉnh Ninh Bình",tien-son,ward,13
01752,"Hải An","Xã Hải An, Tỉnh Ninh Bình",hai-an,commune,13
01758,"Quang Thiện","Xã Quang Thiện, Tỉnh Ninh Bình",quang-thien,commune,13
01760,"Tam Điệp","Phường Tam Điệp, Tỉnh Ninh Bình",tam-diep,ward,13
01770,"Giao Bình","Xã Giao Bình, Tỉnh Ninh Bình",giao-binh,commune,13
01772,"Vụ Bản","Xã Vụ Bản, Tỉnh Ninh Bình",vu-ban,commune,13
01792,"Khánh Trung","Xã Khánh Trung, Tỉnh Ninh Bình",khanh-trung,commune,13
01800,"Tân Thanh","Xã Tân Thanh, Tỉnh Ninh Bình",tan-thanh,commune,13
01817,"Kim Thanh","Phường Kim Thanh, Tỉnh Ninh Bình",kim-thanh,ward,13
01825,"Gia Vân","Xã Gia Vân, Tỉnh Ninh Bình",gia-van,commune,13
01831,"Hải Quang","Xã Hải Quang, Tỉnh Ninh Bình",hai-quang,commune,13
01839,"Khánh Thiện","Xã Khánh Thiện, Tỉnh Ninh Bình",khanh-thien,commune,13
01847,"Khánh Nhạc","Xã Khánh Nhạc, Tỉnh Ninh Bình",khanh-nhac,commune,13
01933,"Nhân Hà","Xã Nhân Hà, Tỉnh Ninh Bình",nhan-ha,commune,13
01946,"Định Hóa","Xã Định Hóa, Tỉnh Ninh Bình",dinh-hoa,commune,13
01954,"Bình Giang","Xã Bình Giang, Tỉnh Ninh Bình",binh-giang,commune,13
01959,"Duy Hà","Phường Duy Hà, Tỉnh Ninh Bình",duy-ha,ward,13
01978,"Đồng Thái","Xã Đồng Thái, Tỉnh Ninh Bình",dong-thai,commune,13
01992,"Đại Hoàng","Xã Đại Hoàng, Tỉnh Ninh Bình",dai-hoang,commune,13
02000,"Thanh Sơn","Xã Thanh Sơn, Tỉnh Ninh Bình",thanh-son,commune,13
02010,"Khánh Hội","Xã Khánh Hội, Tỉnh Ninh Bình",khanh-hoi,commune,13
02012,"Thanh Liêm","Xã Thanh Liêm, Tỉnh Ninh Bình",thanh-liem,commune,13
02046,"Kim Bảng","Phường Kim Bảng, Tỉnh Ninh Bình",kim-bang,ward,13
02066,"Lý Thường Kiệt","Phường Lý Thường Kiệt, Tỉnh Ninh Bình",ly-thuong-kiet,ward,13
02088,"Phú Sơn","Xã Phú Sơn, Tỉnh Ninh Bình",phu-son,commune,13
02105,"Yên Mạc","Xã Yên Mạc, Tỉnh Ninh Bình",yen-mac,commune,13
02141,"Trần Thương","Xã Trần Thương, Tỉnh Ninh Bình",tran-thuong,commune,13
02152,"Thanh Bình","Xã Thanh Bình, Tỉnh Ninh Bình",thanh-binh,commune,13
02155,"Gia Hưng","Xã Gia Hưng, Tỉnh Ninh Bình",gia-hung,commune,13
02189,"Yên Sơn","Phường Yên Sơn, Tỉnh Ninh Bình",yen-son,ward,13
02222,"Quang Hưng","Xã Quang Hưng, Tỉnh Ninh Bình",quang-hung,commune,13
02226,"Gia Trấn","Xã Gia Trấn, Tỉnh Ninh Bình",gia-tran,commune,13
02249,"Gia Lâm","Xã Gia Lâm, Tỉnh Ninh Bình",gia-lam,commune,13
