code,name,fullName,slug,type,provinceCode
00045,"Nha Trang","Phường Nha Trang, Tỉnh Khánh Hòa",nha-trang,ward,14
00050,"Nam Nha Trang","Phường Nam Nha Trang, Tỉnh Khánh Hòa",nam-nha-trang,ward,14
00055,"Bắc Nha Trang","Phường Bắc Nha Trang, Tỉnh Khánh Hòa",bac-nha-trang,ward,14
00097,"Tây Nha Trang","Phường Tây Nha Trang, Tỉnh Khánh Hòa",tay-nha-trang,ward,14
00163,"Cam Lâm","Xã Cam Lâm, Tỉnh Khánh Hòa",cam-lam,commune,14
00251,"Phan Rang","Phường Phan Rang, Tỉnh Khánh Hòa",phan-rang,ward,14
00285,"Ninh Phước","Xã Ninh Phước, Tỉnh Khánh Hòa",ninh-phuoc,commune,14
00412,"Ninh Hòa","Phường Ninh Hòa, Tỉnh Khánh Hòa",ninh-hoa,ward,14
00468,"Đông Hải","Phường Đông Hải, Tỉnh Khánh Hòa",ong-hai,ward,14
00481,"Vạn Ninh","Xã Vạn Ninh, Tỉnh Khánh Hòa",van-ninh,commune,14
00591,"Phước Hậu","Xã Phước Hậu, Tỉnh Khánh Hòa",phuoc-hau,commune,14
00693,"Bảo An","Phường Bảo An, Tỉnh Khánh Hòa",bao-an,ward,14
00714,"Diên Khánh","Xã Diên Khánh, Tỉnh Khánh Hòa",dien-khanh,commune,14
00717,"Xuân Hải","Xã Xuân Hải, Tỉnh Khánh Hòa",xuan-hai,commune,14
00764,"Bắc Cam Ranh","Phường Bắc Cam Ranh, Tỉnh Khánh Hòa",bac-cam-ranh,ward,14
00773,"Đông Ninh Hòa","Phường Đông Ninh Hòa, Tỉnh Khánh Hòa",ong-ninh-hoa,ward,14
00881,"Tân Định","Xã Tân Định, Tỉnh Khánh Hòa",tan-inh,commune,14
00927,"Ninh Chử","Phường Ninh Chử, Tỉnh Khánh Hòa",ninh-chu,ward,14
01004,"Diên Điền","Xã Diên Điền, Tỉnh Khánh Hòa",dien-ien,commune,14
01070,"Vĩnh Hải","Xã Vĩnh Hải, Tỉnh Khánh Hòa",vinh-hai,commune,14
01149,"Phước Hữu","Xã Phước Hữu, Tỉnh Khánh Hòa",phuoc-huu,commune,14
01168,"Phước Dinh","Xã Phước Dinh, Tỉnh Khánh Hòa",phuoc-dinh,commune,14
01285,"Đô Vinh","Phường Đô Vinh, Tỉnh Khánh Hòa",o-vinh,ward,14
01299,"Cam Linh","Phường Cam Linh, Tỉnh Khánh Hòa",cam-linh,ward,14
