code,name,fullName,slug,type,provinceCode
00100,"Long An","Phường Long An, Tỉnh Tây Ninh",long-an,ward,15
00102,"Long Hoa","Phường Long Hoa, Tỉnh Tây Ninh",long-hoa,ward,15
00151,"Tân Ninh","Phường Tân Ninh, Tỉnh Tây Ninh",tan-ninh,ward,15
00206,"Cần Giuộc","Xã Cần Giuộc, Tỉnh Tây Ninh",can-giuoc,commune,15
00318,"Gò Dầu","Phường Gò Dầu, Tỉnh Tây Ninh",go-dau,ward,15
00377,"An Tịnh","Phường An Tịnh, Tỉnh Tây Ninh",an-tinh,ward,15
00437,"Bến Lức","Xã Bến Lức, Tỉnh Tây Ninh",ben-luc,commune,15
00439,"Mỹ Hạnh","Xã Mỹ Hạnh, Tỉnh Tây Ninh",my-hanh,commune,15
00465,"Bình Minh","Phường Bình Minh, Tỉnh Tây Ninh",binh-minh,ward,15
00493,"Trảng Bàng","Phường Trảng Bàng, Tỉnh Tây Ninh",trang-bang,ward,15
00516,"Ninh Thạnh","Phường Ninh Thạnh, Tỉnh Tây Ninh",ninh-thanh,ward,15
00522,"Châu Thành","Xã Châu Thành, Tỉnh Tây Ninh",chau-thanh,commune,15
00567,"Cần Đước","Xã Cần Đước, Tỉnh Tây Ninh",can-uoc,commune,15
00577,"Đức Hòa","Xã Đức Hòa, Tỉnh Tây Ninh",uc-hoa,commune,15
00599,"Mỹ Yên","Xã Mỹ Yên, Tỉnh Tây Ninh",my-yen,commune,15
00600,"Bến Cầu","Xã Bến Cầu, Tỉnh Tây Ninh",ben-cau,commune,15
00667,"Hậu Nghĩa","Xã Hậu Nghĩa, Tỉnh Tây Ninh",hau-nghia,commune,15
00727,"Tân Tập","Xã Tân Tập, Tỉnh Tây Ninh",tan-tap,commune,15
00737,"Thạnh Đức","Xã Thạnh Đức, Tỉnh Tây Ninh",thanh-uc,commune,15
00738,"Thủ Thừa","Xã Thủ Thừa, Tỉnh Tây Ninh",thu-thua,commune,15
00747,"Phước Thạnh","Xã Phước Thạnh, Tỉnh Tây Ninh",phuoc-thanh,commune,15
00770,"Thanh Điền","Phường Thanh Điền, Tỉnh Tây Ninh",thanh-ien,ward,15
00789,"Phước Lý","Xã Phước Lý, Tỉnh Tây Ninh",phuoc-ly,commune,15
00861,"Hoà Thành","Phường Hoà Thành, Tỉnh Tây Ninh",hoa-thanh,ward,15
00895,"Mỹ Lộc","Xã Mỹ Lộc, Tỉnh Tây Ninh",my-loc,commune,15
00898,"Truông Mít","Xã Truông Mít, Tỉnh Tây Ninh",truong-mit,commune,15
00940,"Thuận Mỹ","Xã Thuận Mỹ, Tỉnh Tây Ninh",thuan-my,commune,15
00966,"Rạch Kiến","Xã Rạch Kiến, Tỉnh Tây Ninh",rach-kien,commune,15
01017,"An Ninh","Xã An Ninh, Tỉnh Tây Ninh",an-ninh,commune,15
01041,"Gia Lộc","Phường Gia Lộc, Tỉnh Tây Ninh",gia-loc,ward,15
01064,"Mỹ Lệ","Xã Mỹ Lệ, Tỉnh Tây Ninh",my-le,commune,15
01079,"Tân Biên","Xã Tân Biên, Tỉnh Tây Ninh",tan-bien,commune,15
01123,"Tầm Vu","Xã Tầm Vu, Tỉnh Tây Ninh",tam-vu,commune,15
01133,"Dương Minh Châu","Xã Dương Minh Châu, Tỉnh Tây Ninh",duong-minh-chau,commune,15
01143,"Hoà Khánh","Xã Hoà Khánh, Tỉnh Tây Ninh",hoa-khanh,commune,15
01180,"Bình Đức","Xã Bình Đức, Tỉnh Tây Ninh",binh-uc,commune,15
01315,"Hiệp Hoà","Xã Hiệp Hoà, Tỉnh Tây Ninh",hiep-hoa,commune,15
01331,"Long Cang","Xã Long Cang, Tỉnh Tây Ninh",long-cang,commune,15
01340,"Hảo Đước","Xã Hảo Đước, Tỉnh Tây Ninh",hao-uoc,commune,15
01353,"Tân An","Phường Tân An, Tỉnh Tây Ninh",tan-an,ward,15
01389,"Đức Lập","Xã Đức Lập, Tỉnh Tây Ninh",uc-lap,commune,15
01405,"Phước Chỉ","Xã Phước Chỉ, Tỉnh Tây Ninh",phuoc-chi,commune,15
01464,"Thạnh Bình","Xã Thạnh Bình, Tỉnh Tây Ninh",thanh-binh,commune,15
01502,"Nhựt Tảo","Xã Nhựt Tảo, Tỉnh Tây Ninh",nhut-tao,commune,15
01515,"Tân Lân","Xã Tân Lân, Tỉnh Tây Ninh",tan-lan,commune,15
01522,"Tân Phú","Xã Tân Phú, Tỉnh Tây Ninh",tan-phu,commune,15
01554,"An Lục Long","Xã An Lục Long, Tỉnh Tây Ninh",an-luc-long,commune,15
01571,"Lộc Ninh","Xã Lộc Ninh, Tỉnh Tây Ninh",loc-ninh,commune,15
01583,"Long Hựu","Xã Long Hựu, Tỉnh Tây Ninh",long-huu,commune,15
01589,"Khánh Hậu","Phường Khánh Hậu, Tỉnh Tây Ninh",khanh-hau,ward,15
01624,"Mỹ Quý","Xã Mỹ Quý, Tỉnh Tây Ninh",my-quy,commune,15
01654,"Phước Vĩnh Tây","Xã Phước Vĩnh Tây, Tỉnh Tây Ninh",phuoc-vinh-tay,commune,15
01682,"Tân Thành","Xã Tân Thành, Tỉnh Tây Ninh",tan-thanh,commune,15
01698,"Tân Đông","Xã Tân Đông, Tỉnh Tây Ninh",tan-ong,commune,15
01732,"Đông Thành","Xã Đông Thành, Tỉnh Tây Ninh",ong-thanh,commune,15
01739,"Nhơn Ninh","Xã Nhơn Ninh, Tỉnh Tây Ninh",nhon-ninh,commune,15
01759,"Tân Trụ","Xã Tân Trụ, Tỉnh Tây Ninh",tan-tru,commune,15
01786,"Hưng Thuận","Xã Hưng Thuận, Tỉnh Tây Ninh",hung-thuan,commune,15
01789,"Mỹ Thạnh","Xã Mỹ Thạnh, Tỉnh Tây Ninh",my-thanh,commune,15
01826,"Tân Thạnh","Xã Tân Thạnh, Tỉnh Tây Ninh",tan-thanh,commune,15
01863,"Cầu Khởi","Xã Cầu Khởi, Tỉnh Tây Ninh",cau-khoi,commune,15
01871,"Vàm Cỏ","Xã Vàm Cỏ, Tỉnh Tây Ninh",vam-co,commune,15
01938,"Long Thuận","Xã Long Thuận, Tỉnh Tây Ninh",long-thuan,commune,15
01943,"Tân Hòa","Xã Tân Hòa, Tỉnh Tây Ninh",tan-hoa,commune,15
01958,"Trà Vong","Xã Trà Vong, Tỉnh Tây Ninh",tra-vong,commune,15
01976,"Tân Châu","Xã Tân Châu, Tỉnh Tây Ninh",tan-chau,commune,15
01979,"Thạnh Lợi","Xã Thạnh Lợi, Tỉnh Tây Ninh",thanh-loi,commune,15
02002,"Kiến Tường","Phường Kiến Tường, Tỉnh Tây Ninh",kien-tuong,ward,15
02026,"Ninh Điền","Xã Ninh Điền, Tỉnh Tây Ninh",ninh-ien,commune,15
02039,"Phước Vinh","Xã Phước Vinh, Tỉnh Tây Ninh",phuoc-vinh,commune,15
02040,"Lương Hoà","Xã Lương Hoà, Tỉnh Tây Ninh",luong-hoa,commune,15
02070,"Đức Huệ","Xã Đức Huệ, Tỉnh Tây Ninh",uc-hue,commune,15
02079,"Vĩnh Công","Xã Vĩnh Công, Tỉnh Tây Ninh",vinh-cong,commune,15
02131,"Thạnh Phước","Xã Thạnh Phước, Tỉnh Tây Ninh",thanh-phuoc,commune,15
02147,"Tân Hội","Xã Tân Hội, Tỉnh Tây Ninh",tan-hoi,commune,15
02174,"Bình Hiệp","Xã Bình Hiệp, Tỉnh Tây Ninh",binh-hiep,commune,15
02188,"Vĩnh Hưng","Xã Vĩnh Hưng, Tỉnh Tây Ninh",vinh-hung,commune,15
02225,"Mỹ An","Xã Mỹ An, Tỉnh Tây Ninh",my-an,commune,15
02239,"Khánh Hưng","Xã Khánh Hưng, Tỉnh Tây Ninh",khanh-hung,commune,15
02268,"Nhơn Hòa Lập","Xã Nhơn Hòa Lập, Tỉnh Tây Ninh",nhon-hoa-lap,commune,15
02298,"Tân Tây","Xã Tân Tây, Tỉnh Tây Ninh",tan-tay,commune,15
02304,"Hậu Thạnh","Xã Hậu Thạnh, Tỉnh Tây Ninh",hau-thanh,commune,15
02305,"Hưng Điền","Xã Hưng Điền, Tỉnh Tây Ninh",hung-ien,commune,15
02315,"Tuyên Bình","Xã Tuyên Bình, Tỉnh Tây Ninh",tuyen-binh,commune,15
02390,"Tân Hưng","Xã Tân Hưng, Tỉnh Tây Ninh",tan-hung,commune,15
02410,"Long Chữ","Xã Long Chữ, Tỉnh Tây Ninh",long-chu,commune,15
02470,"Mộc Hoá","Xã Mộc Hoá, Tỉnh Tây Ninh",moc-hoa,commune,15
02475,"Tân Lập","Xã Tân Lập, Tỉnh Tây Ninh",tan-lap,commune,15
