code,name,fullName,slug,type,provinceCode
00042,"Cao Lãnh","Phường Cao Lãnh, Tỉnh Đồng Tháp",cao-lanh,ward,16
00107,"Sa Đéc","Phường Sa Đéc, Tỉnh Đồng Tháp",sa-ec,ward,16
00191,"Lai Vung","Xã Lai Vung, Tỉnh Đồng Tháp",lai-vung,commune,16
00219,"Tân Long","Xã Tân Long, Tỉnh Đồng Tháp",tan-long,commune,16
00224,"Tân Phước 3","Xã Tân Phước 3, Tỉnh Đồng Tháp",tan-phuoc-3,commune,16
00237,"Lấp Vò","Xã Lấp Vò, Tỉnh Đồng Tháp",lap-vo,commune,16
00243,"Đạo Thạnh","Phường Đạo Thạnh, Tỉnh Đồng Tháp",ao-thanh,ward,16
00262,"Phong Hòa","Xã Phong Hòa, Tỉnh Đồng Tháp",phong-hoa,commune,16
00280,"Trung An","Phường Trung An, Tỉnh Đồng Tháp",trung-an,ward,16
00295,"Hòa Long","Xã Hòa Long, Tỉnh Đồng Tháp",hoa-long,commune,16
00299,"Phú Hựu","Xã Phú Hựu, Tỉnh Đồng Tháp",phu-huu,commune,16
00313,"Tân Hương","Xã Tân Hương, Tỉnh Đồng Tháp",tan-huong,commune,16
00315,"Mỹ Tho","Phường Mỹ Tho, Tỉnh Đồng Tháp",my-tho,ward,16
00356,"Tân Phú Trung","Xã Tân Phú Trung, Tỉnh Đồng Tháp",tan-phu-trung,commune,16
00380,"Long Phú Thuận","Xã Long Phú Thuận, Tỉnh Đồng Tháp",long-phu-thuan,commune,16
00398,"Thường Phước","Xã Thường Phước, Tỉnh Đồng Tháp",thuong-phuoc,commune,16
00400,"Cái Bè","Xã Cái Bè, Tỉnh Đồng Tháp",cai-be,commune,16
00401,"Tân Nhuận Đông","Xã Tân Nhuận Đông, Tỉnh Đồng Tháp",tan-nhuan-ong,commune,16
00436,"Châu Thành","Xã Châu Thành, Tỉnh Đồng Tháp",chau-thanh,commune,16
00458,"Mỹ An Hưng","Xã Mỹ An Hưng, Tỉnh Đồng Tháp",my-an-hung,commune,16
00469,"Mỹ Hiệp","Xã Mỹ Hiệp, Tỉnh Đồng Tháp",my-hiep,commune,16
00485,"Hồng Ngự","Phường Hồng Ngự, Tỉnh Đồng Tháp",hong-ngu,ward,16
