code,name,fullName,slug,type,provinceCode
00001,"Rạch Giá","Phường Rạch Giá, Tỉnh An Giang",rach-gia,ward,18
00028,"Phú Quốc","Đặc khu Phú Quốc, Tỉnh An Giang",phu-quoc,commune,18
00030,"Long Xuyên","Phường Long Xuyên, Tỉnh An Giang",long-xuyen,ward,18
00128,"Châu Đốc","Phường Châu Đốc, Tỉnh An Giang",chau-doc,ward,18
00153,"Nhơn Mỹ","Xã Nhơn Mỹ, Tỉnh An Giang",nhon-my,commune,18
00190,"Chợ Mới","Xã Chợ Mới, Tỉnh An Giang",cho-moi,commune,18
00236,"Hội An","Xã Hội An, Tỉnh An Giang",hoi-an,commune,18
00248,"Bình Đức","Phường Bình Đức, Tỉnh An Giang",binh-duc,ward,18
00270,"Phú Tân","Xã Phú Tân, Tỉnh An Giang",phu-tan,commune,18
00283,"Giồng Riềng","Xã Giồng Riềng, Tỉnh An Giang",giong-rieng,commune,18
00284,"Cù Lao Giêng","Xã Cù Lao Giêng, Tỉnh An Giang",cu-lao-gieng,commune,18
00286,"Châu Thành","Xã Châu Thành, Tỉnh An Giang",chau-thanh,commune,18
00298,"Bình Mỹ","Xã Bình Mỹ, Tỉnh An Giang",binh-my,commune,18
00316,"Tân Hiệp","Xã Tân Hiệp, Tỉnh An Giang",tan-hiep,commune,18
00321,"An Châu","Xã An Châu, Tỉnh An Giang",an-chau,commune,18
00322,"Long Điền","Xã Long Điền, Tỉnh An Giang",long-dien,commune,18
00326,"Thạnh Mỹ Tây","Xã Thạnh Mỹ Tây, Tỉnh An Giang",thanh-my-tay,commune,18
00331,"Vĩnh Thạnh Trung","Xã Vĩnh Thạnh Trung, Tỉnh An Giang",vinh-thanh-trung,commune,18
00368,"Hòn Đất","Xã Hòn Đất, Tỉnh An Giang",hon-dat,commune,18
00369,"Bình Sơn","Xã Bình Sơn, Tỉnh An Giang",binh-son,commune,18
00385,"Mỹ Thuận","Xã Mỹ Thuận, Tỉnh An Giang",my-thuan,commune,18
00389,"Mỹ Đức","Xã Mỹ Đức, Tỉnh An Giang",my-duc,commune,18
00390,"Mỹ Thới","Phường Mỹ Thới, Tỉnh An Giang",my-thoi,ward,18
00391,"Vĩnh Hậu","Xã Vĩnh Hậu, Tỉnh An Giang",vinh-hau,commune,18
00395,"Châu Phú","Xã Châu Phú, Tỉnh An Giang",chau-phu,commune,18
00402,"Thạnh Lộc","Xã Thạnh Lộc, Tỉnh An Giang",thanh-loc,commune,18
00403,"Bình An","Xã Bình An, Tỉnh An Giang",binh-an,commune,18
00421,"Kiên Lương","Xã Kiên Lương, Tỉnh An Giang",kien-luong,commune,18
00432,"Nhơn Hội","Xã Nhơn Hội, Tỉnh An Giang",nhon-hoi,commune,18
00433,"Long Kiến","Xã Long Kiến, Tỉnh An Giang",long-kien,commune,18
00442,"Định Hòa","Xã Định Hòa, Tỉnh An Giang",dinh-hoa,commune,18
00443,"Bình Hòa","Xã Bình Hòa, Tỉnh An Giang",binh-hoa,commune,18
00446,"Châu Phong","Xã Châu Phong, Tỉnh An Giang",chau-phong,commune,18
00463,"Vĩnh Thông","Phường Vĩnh Thông, Tỉnh An Giang",vinh-thong,ward,18
00477,"Đông Thái","Xã Đông Thái, Tỉnh An Giang",dong-thai,commune,18
00488,"An Biên","Xã An Biên, Tỉnh An Giang",an-bien,commune,18
00489,"Thạnh Đông","Xã Thạnh Đông, Tỉnh An Giang",thanh-dong,commune,18
00509,"Tây Yên","Xã Tây Yên, Tỉnh An Giang",tay-yen,commune,18
00511,"Thoại Sơn","Xã Thoại Sơn, Tỉnh An Giang",thoai-son,commune,18
00531,"Vĩnh Hòa","Xã Vĩnh Hòa, Tỉnh An Giang",vinh-hoa,commune,18
00559,"Tri Tôn","Xã Tri Tôn, Tỉnh An Giang",tri-ton,commune,18
00563,"Bình Thạnh Đông","Xã Bình Thạnh Đông, Tỉnh An Giang",binh-thanh-dong,commune,18
00570,"Chợ Vàm","Xã Chợ Vàm, Tỉnh An Giang",cho-vam,commune,18
00593,"Tân Hội","Xã Tân Hội, Tỉnh An Giang",tan-hoi,commune,18
00605,"An Phú","Xã An Phú, Tỉnh An Giang",an-phu,commune,18
00663,"Long Phú","Phường Long Phú, Tỉnh An Giang",long-phu,ward,18
00665,"Thạnh Hưng","Xã Thạnh Hưng, Tỉnh An Giang",thanh-hung,commune,18
00682,"U Minh Thượng","Xã U Minh Thượng, Tỉnh An Giang",u-minh-thuong,commune,18
00712,"Đông Hòa","Xã Đông Hòa, Tỉnh An Giang",dong-hoa,commune,18
00730,"Gò Quao","Xã Gò Quao, Tỉnh An Giang",go-quao,commune,18
00767,"Vĩnh Bình","Xã Vĩnh Bình, Tỉnh An Giang",vinh-binh,commune,18
00780,"Vĩnh Phong","Xã Vĩnh Phong, Tỉnh An Giang",vinh-phong,commune,18
00797,"Khánh Bình","Xã Khánh Bình, Tỉnh An Giang",khanh-binh,commune,18
00799,"Phú Hữu","Xã Phú Hữu, Tỉnh An Giang",phu-huu,commune,18
00811,"Định Mỹ","Xã Định Mỹ, Tỉnh An Giang",dinh-my,commune,18
00816,"Long Thạnh","Xã Long Thạnh, Tỉnh An Giang",long-thanh,commune,18
00827,"Tân An","Xã Tân An, Tỉnh An Giang",tan-an,commune,18
00841,"Vĩnh Xương","Xã Vĩnh Xương, Tỉnh An Giang",vinh-xuong,commune,18
00845,"Phú Hòa","Xã Phú Hòa, Tỉnh An Giang",phu-hoa,commune,18
00879,"Hà Tiên","Phường Hà Tiên, Tỉnh An Giang",ha-tien,ward,18
00894,"Vĩnh Tế","Phường Vĩnh Tế, Tỉnh An Giang",vinh-te,ward,18
00912,"Phú An","Xã Phú An, Tỉnh An Giang",phu-an,commune,18
00918,"An Cư","Xã An Cư, Tỉnh An Giang",an-cu,commune,18
00932,"Óc Eo","Xã Óc Eo, Tỉnh An Giang",oc-eo,commune,18
00971,"Ngọc Chúc","Xã Ngọc Chúc, Tỉnh An Giang",ngoc-chuc,commune,18
01011,"Hòa Hưng","Xã Hòa Hưng, Tỉnh An Giang",hoa-hung,commune,18
01031,"Vĩnh Hòa Hưng","Xã Vĩnh Hòa Hưng, Tỉnh An Giang",vinh-hoa-hung,commune,18
01039,"Ô Lâm","Xã Ô Lâm, Tỉnh An Giang",o-lam,commune,18
01074,"Vĩnh Tuy","Xã Vĩnh Tuy, Tỉnh An Giang",vinh-tuy,commune,18
01120,"Tân Thạnh","Xã Tân Thạnh, Tỉnh An Giang",tan-thanh,commune,18
01146,"An Minh","Xã An Minh, Tỉnh An Giang",an-minh,commune,18
