code,name,fullName,slug,type,provinceCode
00092,"Phan Đình Phùng","Phường Phan Đình Phùng, Tỉnh Thái Nguyên",phan-dinh-phung,ward,19
00367,"Vạn Xuân","Phường Vạn Xuân, Tỉnh Thái Nguyên",van-xuan,ward,19
00461,"Tích Lương","Phường Tích Lương, Tỉnh Thái Nguyên",tich-luong,ward,19
00602,"Phổ Yên","Phường Phổ Yên, Tỉnh Thái Nguyên",pho-yen,ward,19
00670,"Linh Sơn","Phường Linh Sơn, Tỉnh Thái Nguyên",linh-son,ward,19
00723,"Phú Bình","Xã Phú Bình, Tỉnh Thái Nguyên",phu-binh,commune,19
00748,"Gia Sàng","Phường Gia Sàng, Tỉnh Thái Nguyên",gia-sang,ward,19
00755,"Phú Lương","Xã Phú Lương, Tỉnh Thái Nguyên",phu-luong,commune,19
00812,"Quan Triều","Phường Quan Triều, Tỉnh Thái Nguyên",quan-trieu,ward,19
00817,"Kha Sơn","Xã Kha Sơn, Tỉnh Thái Nguyên",kha-son,commune,19
00828,"Điềm Thụy","Xã Điềm Thụy, Tỉnh Thái Nguyên",diem-thuy,commune,19
00945,"Đại Phúc","Xã Đại Phúc, Tỉnh Thái Nguyên",dai-phuc,commune,19
00992,"Vô Tranh","Xã Vô Tranh, Tỉnh Thái Nguyên",vo-tranh,commune,19
01056,"Trung Thành","Phường Trung Thành, Tỉnh Thái Nguyên",trung-thanh,ward,19
01445,"Đồng Hỷ","Xã Đồng Hỷ, Tỉnh Thái Nguyên",dong-hy,commune,19
01524,"Quyết Thắng","Phường Quyết Thắng, Tỉnh Thái Nguyên",quyet-thang,ward,19
01584,"Phúc Thuận","Phường Phúc Thuận, Tỉnh Thái Nguyên",phuc-thuan,ward,19
01643,"Thành Công","Xã Thành Công, Tỉnh Thái Nguyên",thanh-cong,commune,19
01745,"Đại Từ","Xã Đại Từ, Tỉnh Thái Nguyên",dai-tu,commune,19
01773,"Bách Quang","Phường Bách Quang, Tỉnh Thái Nguyên",bach-quang,ward,19
01837,"Tân Thành","Xã Tân Thành, Tỉnh Thái Nguyên",tan-thanh,commune,19
01854,"Tân Cương","Xã Tân Cương, Tỉnh Thái Nguyên",tan-cuong,commune,19
01866,"Bắc Kạn","Phường Bắc Kạn, Tỉnh Thái Nguyên",bac-kan,ward,19
02005,"Tân Khánh","Xã Tân Khánh, Tỉnh Thái Nguyên",tan-khanh,commune,19
02018,"Yên Trạch","Xã Yên Trạch, Tỉnh Thái Nguyên",yen-trach,commune,19
02060,"Phú Xuyên","Xã Phú Xuyên, Tỉnh Thái Nguyên",phu-xuyen,commune,19
02094,"Đức Xuân","Phường Đức Xuân, Tỉnh Thái Nguyên",duc-xuan,ward,19
02115,"Định Hóa","Xã Định Hóa, Tỉnh Thái Nguyên",dinh-hoa,commune,19
02132,"Vạn Phú","Xã Vạn Phú, Tỉnh Thái Nguyên",van-phu,commune,19
02179,"Phú Thịnh","Xã Phú Thịnh, Tỉnh Thái Nguyên",phu-thinh,commune,19
02195,"Phú Lạc","Xã Phú Lạc, Tỉnh Thái Nguyên",phu-lac,commune,19
02198,"Sông Công","Phường Sông Công, Tỉnh Thái Nguyên",song-cong,ward,19
02256,"An Khánh","Xã An Khánh, Tỉnh Thái Nguyên",an-khanh,commune,19
02259,"Bá Xuyên","Phường Bá Xuyên, Tỉnh Thái Nguyên",ba-xuyen,ward,19
02270,"Văn Hán","Xã Văn Hán, Tỉnh Thái Nguyên",van-han,commune,19
02302,"Dân Tiến","Xã Dân Tiến, Tỉnh Thái Nguyên",dan-tien,commune,19
02376,"La Bằng","Xã La Bằng, Tỉnh Thái Nguyên",la-bang,commune,19
02430,"Võ Nhai","Xã Võ Nhai, Tỉnh Thái Nguyên",vo-nhai,commune,19
02442,"Trại Cau","Xã Trại Cau, Tỉnh Thái Nguyên",trai-cau,commune,19
02508,"Chợ Đồn","Xã Chợ Đồn, Tỉnh Thái Nguyên",cho-don,commune,19
02509,"Nam Hòa","Xã Nam Hòa, Tỉnh Thái Nguyên",nam-hoa,commune,19
02524,"Bình Yên","Xã Bình Yên, Tỉnh Thái Nguyên",binh-yen,commune,19
02618,"Tràng Xá","Xã Tràng Xá, Tỉnh Thái Nguyên",trang-xa,commune,19
02621,"Chợ Rã","Xã Chợ Rã, Tỉnh Thái Nguyên",cho-ra,commune,19
02644,"Chợ Mới","Xã Chợ Mới, Tỉnh Thái Nguyên",cho-moi,commune,19
02663,"Bằng Thành","Xã Bằng Thành, Tỉnh Thái Nguyên",bang-thanh,commune,19
02668,"Trung Hội","Xã Trung Hội, Tỉnh Thái Nguyên",trung-hoi,commune,19
02693,"Phủ Thông","Xã Phủ Thông, Tỉnh Thái Nguyên",phu-thong,commune,19
02695,"Phượng Tiến","Xã Phượng Tiến, Tỉnh Thái Nguyên",phuong-tien,commune,19
02702,"Đức Lương","Xã Đức Lương, Tỉnh Thái Nguyên",duc-luong,commune,19
02704,"Quân Chu","Xã Quân Chu, Tỉnh Thái Nguyên",quan-chu,commune,19
02721,"Cao Minh","Xã Cao Minh, Tỉnh Thái Nguyên",cao-minh,commune,19
02761,"La Hiên","Xã La Hiên, Tỉnh Thái Nguyên",la-hien,commune,19
02788,"Ba Bể","Xã Ba Bể, Tỉnh Thái Nguyên",ba-be,commune,19
02789,"Phú Đình","Xã Phú Đình, Tỉnh Thái Nguyên",phu-dinh,commune,19
02790,"Đồng Phúc","Xã Đồng Phúc, Tỉnh Thái Nguyên",dong-phuc,commune,19
02803,"Bình Thành","Xã Bình Thành, Tỉnh Thái Nguyên",binh-thanh,commune,19
02805,"Na Rì","Xã Na Rì, Tỉnh Thái Nguyên",na-ri,commune,19
