code,name,fullName,slug,type,provinceCode
00569,"Đông Kinh","Phường Đông Kinh, Tỉnh Lạng Sơn",ong-kinh,ward,20
00832,"Hoàng Văn Thụ","Phường Hoàng Văn Thụ, Tỉnh Lạng Sơn",hoang-van-thu,ward,20
01457,"Hữu Lũng","Xã Hữu Lũng, Tỉnh Lạng Sơn",huu-lung,commune,20
01496,"Tam Thanh","Phường Tam Thanh, Tỉnh Lạng Sơn",tam-thanh,ward,20
01651,"Chi Lăng","Xã Chi Lăng, Tỉnh Lạng Sơn",chi-lang,commune,20
01898,"Đồng Đăng","Xã Đồng Đăng, Tỉnh Lạng Sơn",ong-ang,commune,20
01950,"Na Dương","Xã Na Dương, Tỉnh Lạng Sơn",na-duong,commune,20
02038,"Lộc Bình","Xã Lộc Bình, Tỉnh Lạng Sơn",loc-binh,commune,20
02053,"Lương Văn Tri","Phường Lương Văn Tri, Tỉnh Lạng Sơn",luong-van-tri,ward,20
02227,"Tuấn Sơn","Xã Tuấn Sơn, Tỉnh Lạng Sơn",tuan-son,commune,20
02233,"Tân Thành","Xã Tân Thành, Tỉnh Lạng Sơn",tan-thanh,commune,20
02254,"Thất Khê","Xã Thất Khê, Tỉnh Lạng Sơn",that-khe,commune,20
02292,"Vân Nham","Xã Vân Nham, Tỉnh Lạng Sơn",van-nham,commune,20
02381,"Tân Thanh","Xã Tân Thanh, Tỉnh Lạng Sơn",tan-thanh,commune,20
02468,"Bắc Sơn","Xã Bắc Sơn, Tỉnh Lạng Sơn",bac-son,commune,20
02488,"Yên Phúc","Xã Yên Phúc, Tỉnh Lạng Sơn",yen-phuc,commune,20
02590,"Bình Gia","Xã Bình Gia, Tỉnh Lạng Sơn",binh-gia,commune,20
02606,"Thiện Tân","Xã Thiện Tân, Tỉnh Lạng Sơn",thien-tan,commune,20
02608,"Yên Bình","Xã Yên Bình, Tỉnh Lạng Sơn",yen-binh,commune,20
02636,"Thống Nhất","Xã Thống Nhất, Tỉnh Lạng Sơn",thong-nhat,commune,20
02646,"Vạn Linh","Xã Vạn Linh, Tỉnh Lạng Sơn",van-linh,commune,20
02653,"Na Sầm","Xã Na Sầm, Tỉnh Lạng Sơn",na-sam,commune,20
02664,"Quốc Khánh","Xã Quốc Khánh, Tỉnh Lạng Sơn",quoc-khanh,commune,20
02679,"Bằng Mạc","Xã Bằng Mạc, Tỉnh Lạng Sơn",bang-mac,commune,20
02683,"Vũ Lăng","Xã Vũ Lăng, Tỉnh Lạng Sơn",vu-lang,commune,20
02690,"Khánh Khê","Xã Khánh Khê, Tỉnh Lạng Sơn",khanh-khe,commune,20
02712,"Vũ Lễ","Xã Vũ Lễ, Tỉnh Lạng Sơn",vu-le,commune,20
02769,"Hưng Vũ","Xã Hưng Vũ, Tỉnh Lạng Sơn",hung-vu,commune,20
02777,"Cai Kinh","Xã Cai Kinh, Tỉnh Lạng Sơn",cai-kinh,commune,20
02798,"Chiến Thắng","Xã Chiến Thắng, Tỉnh Lạng Sơn",chien-thang,commune,20
02802,"Tràng Định","Xã Tràng Định, Tỉnh Lạng Sơn",trang-inh,commune,20
02807,"Tân Tri","Xã Tân Tri, Tỉnh Lạng Sơn",tan-tri,commune,20
02808,"Nhất Hòa","Xã Nhất Hòa, Tỉnh Lạng Sơn",nhat-hoa,commune,20
02813,"Điềm He","Xã Điềm He, Tỉnh Lạng Sơn",iem-he,commune,20
02833,"Nhân Lý","Xã Nhân Lý, Tỉnh Lạng Sơn",nhan-ly,commune,20
02879,"Tân Đoàn","Xã Tân Đoàn, Tỉnh Lạng Sơn",tan-oan,commune,20
02886,"Ba Sơn","Xã Ba Sơn, Tỉnh Lạng Sơn",ba-son,commune,20
02913,"Tri Lễ","Xã Tri Lễ, Tỉnh Lạng Sơn",tri-le,commune,20
02923,"Văn Quan","Xã Văn Quan, Tỉnh Lạng Sơn",van-quan,commune,20
02925,"Đình Lập","Xã Đình Lập, Tỉnh Lạng Sơn",inh-lap,commune,20
02941,"Mẫu Sơn","Xã Mẫu Sơn, Tỉnh Lạng Sơn",mau-son,commune,20
02955,"Tân Văn","Xã Tân Văn, Tỉnh Lạng Sơn",tan-van,commune,20
02975,"Khuất Xá","Xã Khuất Xá, Tỉnh Lạng Sơn",khuat-xa,commune,20
03010,"Hữu Liên","Xã Hữu Liên, Tỉnh Lạng Sơn",huu-lien,commune,20
03040,"Thái Bình","Xã Thái Bình, Tỉnh Lạng Sơn",thai-binh,commune,20
03062,"Kiên Mộc","Xã Kiên Mộc, Tỉnh Lạng Sơn",kien-moc,commune,20
03077,"Văn Lãng","Xã Văn Lãng, Tỉnh Lạng Sơn",van-lang,commune,20
03088,"Hội Hoan","Xã Hội Hoan, Tỉnh Lạng Sơn",hoi-hoan,commune,20
03104,"Thiện Thuật","Xã Thiện Thuật, Tỉnh Lạng Sơn",thien-thuat,commune,20
03113,"Lợi Bác","Xã Lợi Bác, Tỉnh Lạng Sơn",loi-bac,commune,20
03116,"Quan Sơn","Xã Quan Sơn, Tỉnh Lạng Sơn",quan-son,commune,20
03127,"Cao Lộc","Xã Cao Lộc, Tỉnh Lạng Sơn",cao-loc,commune,20
03130,"Thụy Hùng","Xã Thụy Hùng, Tỉnh Lạng Sơn",thuy-hung,commune,20
03131,"Hồng Phong","Xã Hồng Phong, Tỉnh Lạng Sơn",hong-phong,commune,20
03137,"Thiện Hòa","Xã Thiện Hòa, Tỉnh Lạng Sơn",thien-hoa,commune,20
03149,"Xuân Dương","Xã Xuân Dương, Tỉnh Lạng Sơn",xuan-duong,commune,20
03160,"Công Sơn","Xã Công Sơn, Tỉnh Lạng Sơn",cong-son,commune,20
03161,"Tân Tiến","Xã Tân Tiến, Tỉnh Lạng Sơn",tan-tien,commune,20
