code,name,fullName,slug,type,provinceCode
00601,"Điện Biên Phủ","Phường Điện Biên Phủ, Tỉnh Điện Biên",dien-bien-phu,ward,21
01564,"Thanh Nưa","Xã Thanh Nưa, Tỉnh Điện Biên",thanh-nua,commune,21
01856,"Mường Thanh","Phường Mường Thanh, Tỉnh Điện Biên",muong-thanh,ward,21
01960,"Tuần Giáo","Xã Tuần Giáo, Tỉnh Điện Biên",tuan-giao,commune,21
01962,"Mường Nhé","Xã Mường Nhé, Tỉnh Điện Biên",muong-nhe,commune,21
02224,"Thanh An","Xã Thanh An, Tỉnh Điện Biên",thanh-an,commune,21
02280,"Búng Lao","Xã Búng Lao, Tỉnh Điện Biên",bung-lao,commune,21
02285,"Na Sang","Xã Na Sang, Tỉnh Điện Biên",na-sang,commune,21
02312,"Sáng Nhè","Xã Sáng Nhè, Tỉnh Điện Biên",sang-nhe,commune,21
02377,"Mường Lay","Phường Mường Lay, Tỉnh Điện Biên",muong-lay,ward,21
02407,"Tủa Chùa","Xã Tủa Chùa, Tỉnh Điện Biên",tua-chua,commune,21
02419,"Mường Ảng","Xã Mường Ảng, Tỉnh Điện Biên",muong-ang,commune,21
02478,"Nà Hỳ","Xã Nà Hỳ, Tỉnh Điện Biên",na-hy,commune,21
02528,"Mường Phăng","Xã Mường Phăng, Tỉnh Điện Biên",muong-phang,commune,21
02534,"Mường Luân","Xã Mường Luân, Tỉnh Điện Biên",muong-luan,commune,21
02547,"Sính Phình","Xã Sính Phình, Tỉnh Điện Biên",sinh-phinh,commune,21
02553,"Xa Dung","Xã Xa Dung, Tỉnh Điện Biên",xa-dung,commune,21
02555,"Thanh Yên","Xã Thanh Yên, Tỉnh Điện Biên",thanh-yen,commune,21
02569,"Chiềng Sinh","Xã Chiềng Sinh, Tỉnh Điện Biên",chieng-sinh,commune,21
02572,"Na Son","Xã Na Son, Tỉnh Điện Biên",na-son,commune,21
02594,"Nà Tấu","Xã Nà Tấu, Tỉnh Điện Biên",na-tau,commune,21
02603,"Quài Tở","Xã Quài Tở, Tỉnh Điện Biên",quai-to,commune,21
02633,"Mường Mùn","Xã Mường Mùn, Tỉnh Điện Biên",muong-mun,commune,21
02667,"Mường Chà","Xã Mường Chà, Tỉnh Điện Biên",muong-cha,commune,21
02685,"Mường Lạn","Xã Mường Lạn, Tỉnh Điện Biên",muong-lan,commune,21
02713,"Sín Chải","Xã Sín Chải, Tỉnh Điện Biên",sin-chai,commune,21
02739,"Pú Nhung","Xã Pú Nhung, Tỉnh Điện Biên",pu-nhung,commune,21
02787,"Núa Ngam","Xã Núa Ngam, Tỉnh Điện Biên",nua-ngam,commune,21
02855,"Mường Toong","Xã Mường Toong, Tỉnh Điện Biên",muong-toong,commune,21
02864,"Si Pa Phìn","Xã Si Pa Phìn, Tỉnh Điện Biên",si-pa-phin,commune,21
02883,"Phình Giàng","Xã Phình Giàng, Tỉnh Điện Biên",phinh-giang,commune,21
02887,"Mường Pồn","Xã Mường Pồn, Tỉnh Điện Biên",muong-pon,commune,21
02909,"Nà Bủng","Xã Nà Bủng, Tỉnh Điện Biên",na-bung,commune,21
02916,"Quảng Lâm","Xã Quảng Lâm, Tỉnh Điện Biên",quang-lam,commune,21
02919,"Pu Nhi","Xã Pu Nhi, Tỉnh Điện Biên",pu-nhi,commune,21
02942,"Mường Nhà","Xã Mường Nhà, Tỉnh Điện Biên",muong-nha,commune,21
02960,"Mường Tùng","Xã Mường Tùng, Tỉnh Điện Biên",muong-tung,commune,21
02997,"Nậm Kè","Xã Nậm Kè, Tỉnh Điện Biên",nam-ke,commune,21
02999,"Tủa Thàng","Xã Tủa Thàng, Tỉnh Điện Biên",tua-thang,commune,21
03053,"Sam Mứn","Xã Sam Mứn, Tỉnh Điện Biên",sam-mun,commune,21
03055,"Pa Ham","Xã Pa Ham, Tỉnh Điện Biên",pa-ham,commune,21
03086,"Nậm Nèn","Xã Nậm Nèn, Tỉnh Điện Biên",nam-nen,commune,21
03105,"Tìa Dình","Xã Tìa Dình, Tỉnh Điện Biên",tia-dinh,commune,21
03191,"Sín Thầu","Xã Sín Thầu, Tỉnh Điện Biên",sin-thau,commune,21
03247,"Chà Tở","Xã Chà Tở, Tỉnh Điện Biên",cha-to,commune,21
