code,name,fullName,slug,type,provinceCode
00008,"Trấn Biên","Phường Trấn Biên, Tỉnh Đồng Nai",tran-bien,ward,22
00019,"Long Bình","Phường Long Bình, Tỉnh Đồng Nai",long-binh,ward,22
00041,"Tam Hiệp","Phường Tam Hiệp, Tỉnh Đồng Nai",tam-hiep,ward,22
00093,"Bình Phước","Phường Bình Phước, Tỉnh Đồng Nai",binh-phuoc,ward,22
00105,"Trảng Dài","Phường Trảng Dài, Tỉnh Đồng Nai",trang-dai,ward,22
00108,"Xuân Lộc","Xã Xuân Lộc, Tỉnh Đồng Nai",xuan-loc,commune,22
00117,"Tân Triều","Phường Tân Triều, Tỉnh Đồng Nai",tan-trieu,ward,22
00140,"Long Thành","Xã Long Thành, Tỉnh Đồng Nai",long-thanh,commune,22
00141,"Trảng Bom","Xã Trảng Bom, Tỉnh Đồng Nai",trang-bom,commune,22
00168,"Định Quán","Xã Định Quán, Tỉnh Đồng Nai",dinh-quan,commune,22
00182,"Bình Minh","Xã Bình Minh, Tỉnh Đồng Nai",binh-minh,commune,22
00197,"Gia Kiệm","Xã Gia Kiệm, Tỉnh Đồng Nai",gia-kiem,commune,22
00198,"Hố Nai","Phường Hố Nai, Tỉnh Đồng Nai",ho-nai,ward,22
00203,"Nhơn Trạch","Xã Nhơn Trạch, Tỉnh Đồng Nai",nhon-trach,commune,22
00204,"Xuân Hòa","Xã Xuân Hòa, Tỉnh Đồng Nai",xuan-hoa,commune,22
00213,"Long Khánh","Phường Long Khánh, Tỉnh Đồng Nai",long-khanh,ward,22
00218,"Tân Phú","Xã Tân Phú, Tỉnh Đồng Nai",tan-phu,commune,22
00229,"Biên Hòa","Phường Biên Hòa, Tỉnh Đồng Nai",bien-hoa,ward,22
00235,"Long Hưng","Phường Long Hưng, Tỉnh Đồng Nai",long-hung,ward,22
00256,"Dầu Giây","Xã Dầu Giây, Tỉnh Đồng Nai",dau-giay,commune,22
00260,"Thống Nhất","Xã Thống Nhất, Tỉnh Đồng Nai",thong-nhat,commune,22
00334,"Phước Tân","Phường Phước Tân, Tỉnh Đồng Nai",phuoc-tan,ward,22
00361,"Phú Lâm","Xã Phú Lâm, Tỉnh Đồng Nai",phu-lam,commune,22
00399,"An Phước","Xã An Phước, Tỉnh Đồng Nai",an-phuoc,commune,22
