code,name,fullName,slug,type,provinceCode
00363,"Phú Túc","Xã Phú Túc, Tỉnh Vĩnh Long",phu-tuc,commune,24
00478,"Long Hồ","Xã Long Hồ, Tỉnh Vĩnh Long",long-ho,commune,24
00496,"An Hội","Phường An Hội, Tỉnh Vĩnh Long",an-hoi,ward,24
00518,"Ba Tri","Xã Ba Tri, Tỉnh Vĩnh Long",ba-tri,commune,24
00539,"An Bình","Xã An Bình, Tỉnh Vĩnh Long",an-binh,commune,24
00553,"Tân Quới","Xã Tân Quới, Tỉnh Vĩnh Long",tan-quoi,commune,24
00554,"Phước Hậu","Phường Phước Hậu, Tỉnh Vĩnh Long",phuoc-hau,ward,24
00561,"Song Phú","Xã Song Phú, Tỉnh Vĩnh Long",song-phu,commune,24
00564,"Châu Thành","Xã Châu Thành, Tỉnh Vĩnh Long",chau-thanh,commune,24
00579,"Mỏ Cày","Xã Mỏ Cày, Tỉnh Vĩnh Long",mo-cay,commune,24
00584,"Phú Quới","Xã Phú Quới, Tỉnh Vĩnh Long",phu-quoi,commune,24
00589,"Long Châu","Phường Long Châu, Tỉnh Vĩnh Long",long-chau,ward,24
00613,"Ngãi Tứ","Xã Ngãi Tứ, Tỉnh Vĩnh Long",ngai-tu,commune,24
00655,"Phú Khương","Phường Phú Khương, Tỉnh Vĩnh Long",phu-khuong,ward,24
00661,"Tân Thành Bình","Xã Tân Thành Bình, Tỉnh Vĩnh Long",tan-thanh-binh,commune,24
00695,"Trà Côn","Xã Trà Côn, Tỉnh Vĩnh Long",tra-con,commune,24
00697,"Tân Thủy","Xã Tân Thủy, Tỉnh Vĩnh Long",tan-thuy,commune,24
00703,"An Trường","Xã An Trường, Tỉnh Vĩnh Long",an-truong,commune,24
00707,"Trà Vinh","Phường Trà Vinh, Tỉnh Vĩnh Long",tra-vinh,ward,24
00744,"Chợ Lách","Xã Chợ Lách, Tỉnh Vĩnh Long",cho-lach,commune,24
00787,"Vĩnh Thành","Xã Vĩnh Thành, Tỉnh Vĩnh Long",vinh-thanh,commune,24
00801,"Song Lộc","Xã Song Lộc, Tỉnh Vĩnh Long",song-loc,commune,24
00808,"Vĩnh Xuân","Xã Vĩnh Xuân, Tỉnh Vĩnh Long",vinh-xuan,commune,24
00814,"Thạnh Phú","Xã Thạnh Phú, Tỉnh Vĩnh Long",thanh-phu,commune,24
00830,"Đông Thành","Phường Đông Thành, Tỉnh Vĩnh Long",ong-thanh,ward,24
00834,"Càng Long","Xã Càng Long, Tỉnh Vĩnh Long",cang-long,commune,24
00835,"Phong Thạnh","Xã Phong Thạnh, Tỉnh Vĩnh Long",phong-thanh,commune,24
00849,"Tân Hòa","Xã Tân Hòa, Tỉnh Vĩnh Long",tan-hoa,commune,24
