code,name,fullName,slug,type,provinceCode
01089,"Tân Phong","Phường Tân Phong, Tỉnh Lai Châu",tan-phong,ward,26
01487,"Tân Uyên","Xã Tân Uyên, Tỉnh Lai Châu",tan-uyen,commune,26
01722,"Than Uyên","Xã Than Uyên, Tỉnh Lai Châu",than-uyen,commune,26
01864,"Đoàn Kết","Phường Đoàn Kết, Tỉnh Lai Châu",doan-ket,ward,26
02042,"Phong Thổ","Xã Phong Thổ, Tỉnh Lai Châu",phong-tho,commune,26
02235,"Mường Kim","Xã Mường Kim, Tỉnh Lai Châu",muong-kim,commune,26
02356,"Bình Lư","Xã Bình Lư, Tỉnh Lai Châu",binh-lu,commune,26
02467,"Khổng Lào","Xã Khổng Lào, Tỉnh Lai Châu",khong-lao,commune,26
02501,"Sin Suối Hồ","Xã Sin Suối Hồ, Tỉnh Lai Châu",sin-suoi-ho,commune,26
02513,"Tủa Sín Chải","Xã Tủa Sín Chải, Tỉnh Lai Châu",tua-sin-chai,commune,26
02515,"Sì Lở Lầu","Xã Sì Lở Lầu, Tỉnh Lai Châu",si-lo-lau,commune,26
02521,"Dào San","Xã Dào San, Tỉnh Lai Châu",dao-san,commune,26
02659,"Sìn Hồ","Xã Sìn Hồ, Tỉnh Lai Châu",sin-ho,commune,26
02665,"Mường Than","Xã Mường Than, Tỉnh Lai Châu",muong-than,commune,26
02691,"Hồng Thu","Xã Hồng Thu, Tỉnh Lai Châu",hong-thu,commune,26
02723,"Nậm Tăm","Xã Nậm Tăm, Tỉnh Lai Châu",nam-tam,commune,26
02732,"Tả Lèng","Xã Tả Lèng, Tỉnh Lai Châu",ta-leng,commune,26
02742,"Mường Khoa","Xã Mường Khoa, Tỉnh Lai Châu",muong-khoa,commune,26
02791,"Bum Tở","Xã Bum Tở, Tỉnh Lai Châu",bum-to,commune,26
02796,"Pu Sam Cáp","Xã Pu Sam Cáp, Tỉnh Lai Châu",pu-sam-cap,commune,26
02821,"Nậm Hàng","Xã Nậm Hàng, Tỉnh Lai Châu",nam-hang,commune,26
02859,"Nậm Cuổi","Xã Nậm Cuổi, Tỉnh Lai Châu",nam-cuoi,commune,26
02868,"Pắc Ta","Xã Pắc Ta, Tỉnh Lai Châu",pac-ta,commune,26
02871,"Khoen On","Xã Khoen On, Tỉnh Lai Châu",khoen-on,commune,26
02877,"Nậm Sỏ","Xã Nậm Sỏ, Tỉnh Lai Châu",nam-so,commune,26
02956,"Bản Bo","Xã Bản Bo, Tỉnh Lai Châu",ban-bo,commune,26
02986,"Khun Há","Xã Khun Há, Tỉnh Lai Châu",khun-ha,commune,26
02987,"Lê Lợi","Xã Lê Lợi, Tỉnh Lai Châu",le-loi,commune,26
02993,"Pa Tần","Xã Pa Tần, Tỉnh Lai Châu",pa-tan,commune,26
03063,"Tà Tổng","Xã Tà Tổng, Tỉnh Lai Châu",ta-tong,commune,26
03100,"Mường Mô","Xã Mường Mô, Tỉnh Lai Châu",muong-mo,commune,26
03115,"Bum Nưa","Xã Bum Nưa, Tỉnh Lai Châu",bum-nua,commune,26
03162,"Nậm Mạ","Xã Nậm Mạ, Tỉnh Lai Châu",nam-ma,commune,26
03176,"Mường Tè","Xã Mường Tè, Tỉnh Lai Châu",muong-te,commune,26
03190,"Pa Ủ","Xã Pa Ủ, Tỉnh Lai Châu",pa-u,commune,26
03223,"Hua Bum","Xã Hua Bum, Tỉnh Lai Châu",hua-bum,commune,26
03244,"Thu Lũm","Xã Thu Lũm, Tỉnh Lai Châu",thu-lum,commune,26
03296,"Mù Cả","Xã Mù Cả, Tỉnh Lai Châu",mu-ca,commune,26
