code,name,fullName,slug,type,provinceCode
00052,"Quy Nhơn","Phường Quy Nhơn, Tỉnh Gia Lai",quy-nhon,ward,28
00196,"Pleiku","Phường Pleiku, Tỉnh Gia Lai",pleiku,ward,28
00210,"Tuy Phước","Xã Tuy Phước, Tỉnh Gia Lai",tuy-phuoc,commune,28
00245,"Quy Nhơn Nam","Phường Quy Nhơn Nam, Tỉnh Gia Lai",quy-nhon-nam,ward,28
00294,"Chư Sê","Xã Chư Sê, Tỉnh Gia Lai",chu-se,commune,28
00343,"Diên Hồng","Phường Diên Hồng, Tỉnh Gia Lai",dien-hong,ward,28
00419,"Tuy Phước Đông","Xã Tuy Phước Đông, Tỉnh Gia Lai",tuy-phuoc-dong,commune,28
00535,"Phù Cát","Xã Phù Cát, Tỉnh Gia Lai",phu-cat,commune,28
00566,"An Khê","Phường An Khê, Tỉnh Gia Lai",an-khe,ward,28
00588,"Tuy Phước Bắc","Xã Tuy Phước Bắc, Tỉnh Gia Lai",tuy-phuoc-bac,commune,28
00594,"An Nhơn","Phường An Nhơn, Tỉnh Gia Lai",an-nhon,ward,28
00595,"Phú Thiện","Xã Phú Thiện, Tỉnh Gia Lai",phu-thien,commune,28
00609,"Tây Sơn","Xã Tây Sơn, Tỉnh Gia Lai",tay-son,commune,28
00615,"Thống Nhất","Phường Thống Nhất, Tỉnh Gia Lai",thong-nhat,ward,28
00653,"Quy Nhơn Đông","Phường Quy Nhơn Đông, Tỉnh Gia Lai",quy-nhon-dong,ward,28
00679,"Hội Phú","Phường Hội Phú, Tỉnh Gia Lai",hoi-phu,ward,28
00696,"Quy Nhơn Bắc","Phường Quy Nhơn Bắc, Tỉnh Gia Lai",quy-nhon-bac,ward,28
00701,"Đề Gi","Xã Đề Gi, Tỉnh Gia Lai",de-gi,commune,28
00733,"Hoài Nhơn Đông","Phường Hoài Nhơn Đông, Tỉnh Gia Lai",hoai-nhon-dong,ward,28
00734,"Hoài Nhơn Bắc","Phường Hoài Nhơn Bắc, Tỉnh Gia Lai",hoai-nhon-bac,ward,28
00775,"Phù Mỹ Đông","Xã Phù Mỹ Đông, Tỉnh Gia Lai",phu-my-dong,commune,28
00782,"Hoài Nhơn","Phường Hoài Nhơn, Tỉnh Gia Lai",hoai-nhon,ward,28
00794,"Bình Định","Phường Bình Định, Tỉnh Gia Lai",binh-dinh,ward,28
00837,"Bồng Sơn","Phường Bồng Sơn, Tỉnh Gia Lai",bong-son,ward,28
00859,"Biển Hồ","Xã Biển Hồ, Tỉnh Gia Lai",bien-ho,commune,28
00873,"An Phú","Phường An Phú, Tỉnh Gia Lai",an-phu,ward,28
00985,"An Nhơn Bắc","Phường An Nhơn Bắc, Tỉnh Gia Lai",an-nhon-bac,ward,28
01008,"An Lương","Xã An Lương, Tỉnh Gia Lai",an-luong,commune,28
01047,"Phú Túc","Xã Phú Túc, Tỉnh Gia Lai",phu-tuc,commune,28
01051,"Ia Hrung","Xã Ia Hrung, Tỉnh Gia Lai",ia-hrung,commune,28
01052,"Ia Hrú","Xã Ia Hrú, Tỉnh Gia Lai",ia-hru,commune,28
01059,"Đak Đoa","Xã Đak Đoa, Tỉnh Gia Lai",dak-doa,commune,28
