code,name,fullName,slug,type,provinceCode
00112,"Xuân Hương - Đà Lạt","Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng",xuan-huong-a-lat,ward,29
00162,"Phan Rí Cửa","Xã Phan Rí Cửa, Tỉnh Lâm Đồng",phan-ri-cua,commune,29
00170,"Phan Thiết","Phường Phan Thiết, Tỉnh Lâm Đồng",phan-thiet,ward,29
00171,"Đức Trọng","Xã Đức Trọng, Tỉnh Lâm Đồng",uc-trong,commune,29
00266,"Lâm Viên - Đà Lạt","Phường Lâm Viên - Đà Lạt, Tỉnh Lâm Đồng",lam-vien-a-lat,ward,29
00276,"Liên Hương","Xã Liên Hương, Tỉnh Lâm Đồng",lien-huong,commune,29
00335,"Di Linh","Xã Di Linh, Tỉnh Lâm Đồng",di-linh,commune,29
00388,"La Gi","Phường La Gi, Tỉnh Lâm Đồng",la-gi,ward,29
00452,"1 Bảo Lộc","Phường 1 Bảo Lộc, Tỉnh Lâm Đồng",1-bao-loc,ward,29
00470,"Hàm Thắng","Phường Hàm Thắng, Tỉnh Lâm Đồng",ham-thang,ward,29
00473,"3 Bảo Lộc","Phường 3 Bảo Lộc, Tỉnh Lâm Đồng",3-bao-loc,ward,29
00483,"Phú Thuỷ","Phường Phú Thuỷ, Tỉnh Lâm Đồng",phu-thuy,ward,29
00533,"B' Lao","Phường B' Lao, Tỉnh Lâm Đồng",b-lao,ward,29
00540,"Bắc Bình","Xã Bắc Bình, Tỉnh Lâm Đồng",bac-binh,commune,29
00542,"Hiệp Thạnh","Xã Hiệp Thạnh, Tỉnh Lâm Đồng",hiep-thanh,commune,29
00546,"Đức Linh","Xã Đức Linh, Tỉnh Lâm Đồng",uc-linh,commune,29
00560,"Hàm Thuận","Xã Hàm Thuận, Tỉnh Lâm Đồng",ham-thuan,commune,29
00572,"Mũi Né","Phường Mũi Né, Tỉnh Lâm Đồng",mui-ne,ward,29
00586,"Cư Jút","Xã Cư Jút, Tỉnh Lâm Đồng",cu-jut,commune,29
00587,"2 Bảo Lộc","Phường 2 Bảo Lộc, Tỉnh Lâm Đồng",2-bao-loc,ward,29
00590,"Phước Hội","Phường Phước Hội, Tỉnh Lâm Đồng",phuoc-hoi,ward,29
00610,"Cam Ly - Đà Lạt","Phường Cam Ly - Đà Lạt, Tỉnh Lâm Đồng",cam-ly-a-lat,ward,29
