code,name,fullName,slug,type,provinceCode
00002,"Dĩ An","Phường Dĩ An, Thành phố Hồ Chí Minh",di-an,ward,30
00003,"Hiệp Bình","Phường Hiệp Bình, Thành phố Hồ Chí Minh",hiep-binh,ward,30
00004,"Tăng Nhơn Phú","Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh",tang-nhon-phu,ward,30
00005,"Bà Điểm","Xã Bà Điểm, Thành phố Hồ Chí Minh",ba-diem,commune,30
00009,"Chánh Hưng","Phường Chánh Hưng, Thành phố Hồ Chí Minh",chanh-hung,ward,30
00010,"Đông Thạnh","Xã Đông Thạnh, Thành phố Hồ Chí Minh",dong-thanh,commune,30
00012,"Bình Hưng Hòa","Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh",binh-hung-hoa,ward,30
00014,"Bình Hưng","Xã Bình Hưng, Thành phố Hồ Chí Minh",binh-hung,commune,30
00015,"Đông Hưng Thuận","Phường Đông Hưng Thuận, Thành phố Hồ Chí Minh",dong-hung-thuan,ward,30
00016,"An Phú Đông","Phường An Phú Đông, Thành phố Hồ Chí Minh",an-phu-dong,ward,30
00017,"An Lạc","Phường An Lạc, Thành phố Hồ Chí Minh",an-lac,ward,30
00020,"Tân Thới Hiệp","Phường Tân Thới Hiệp, Thành phố Hồ Chí Minh",tan-thoi-hiep,ward,30
00021,"Vĩnh Lộc","Xã Vĩnh Lộc, Thành phố Hồ Chí Minh",vinh-loc,commune,30
00022,"Bình Trị Đông","Phường Bình Trị Đông, Thành phố Hồ Chí Minh",binh-tri-dong,ward,30
00023,"Tân Vĩnh Lộc","Xã Tân Vĩnh Lộc, Thành phố Hồ Chí Minh",tan-vinh-loc,commune,30
00024,"An Phú","Phường An Phú, Thành phố Hồ Chí Minh",an-phu,ward,30
00025,"Bình Tân","Phường Bình Tân, Thành phố Hồ Chí Minh",binh-tan,ward,30
00027,"Linh Xuân","Phường Linh Xuân, Thành phố Hồ Chí Minh",linh-xuan,ward,30
00029,"Bình Đông","Phường Bình Đông, Thành phố Hồ Chí Minh",binh-dong,ward,30
00031,"Tân Hưng","Phường Tân Hưng, Thành phố Hồ Chí Minh",tan-hung,ward,30
00032,"Tam Bình","Phường Tam Bình, Thành phố Hồ Chí Minh",tam-binh,ward,30
00033,"Thạnh Mỹ Tây","Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh",thanh-my-tay,ward,30
00034,"Thuận Giao","Phường Thuận Giao, Thành phố Hồ Chí Minh",thuan-giao,ward,30
00035,"Phú Định","Phường Phú Định, Thành phố Hồ Chí Minh",phu-dinh,ward,30
00037,"Tân Thuận","Phường Tân Thuận, Thành phố Hồ Chí Minh",tan-thuan,ward,30
00038,"Tân Hiệp","Phường Tân Hiệp, Thành phố Hồ Chí Minh",tan-hiep,ward,30
00040,"Phú Thọ Hòa","Phường Phú Thọ Hòa, Thành phố Hồ Chí Minh",phu-tho-hoa,ward,30
00043,"Phước Long","Phường Phước Long, Thành phố Hồ Chí Minh",phuoc-long,ward,30
00046,"Bảy Hiền","Phường Bảy Hiền, Thành phố Hồ Chí Minh",bay-hien,ward,30
00047,"Đông Hòa","Phường Đông Hòa, Thành phố Hồ Chí Minh",dong-hoa,ward,30
00053,"Hạnh Thông","Phường Hạnh Thông, Thành phố Hồ Chí Minh",hanh-thong,ward,30
00054,"Củ Chi","Xã Củ Chi, Thành phố Hồ Chí Minh",cu-chi,commune,30
00056,"Trung Mỹ Tây","Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh",trung-my-tay,ward,30
00057,"Tân Khánh","Phường Tân Khánh, Thành phố Hồ Chí Minh",tan-khanh,ward,30
00058,"Bình Thạnh","Phường Bình Thạnh, Thành phố Hồ Chí Minh",binh-thanh,ward,30
00060,"Gia Định","Phường Gia Định, Thành phố Hồ Chí Minh",gia-dinh,ward,30
00061,"Nhà Bè","Xã Nhà Bè, Thành phố Hồ Chí Minh",nha-be,commune,30
00062,"Thới An","Phường Thới An, Thành phố Hồ Chí Minh",thoi-an,ward,30
00064,"An Hội Đông","Phường An Hội Đông, Thành phố Hồ Chí Minh",an-hoi-dong,ward,30
00068,"Bình Trưng","Phường Bình Trưng, Thành phố Hồ Chí Minh",binh-trung,ward,30
00069,"Thông Tây Hội","Phường Thông Tây Hội, Thành phố Hồ Chí Minh",thong-tay-hoi,ward,30
00070,"An Hội Tây","Phường An Hội Tây, Thành phố Hồ Chí Minh",an-hoi-tay,ward,30
00071,"Bình Hòa","Phường Bình Hòa, Thành phố Hồ Chí Minh",binh-hoa,ward,30
00074,"Long Bình","Phường Long Bình, Thành phố Hồ Chí Minh",long-binh,ward,30
00077,"Thủ Đức","Phường Thủ Đức, Thành phố Hồ Chí Minh",thu-duc,ward,30
00078,"Lái Thiêu","Phường Lái Thiêu, Thành phố Hồ Chí Minh",lai-thieu,ward,30
00081,"Vũng Tàu","Phường Vũng Tàu, Thành phố Hồ Chí Minh",vung-tau,ward,30
00082,"Tân Sơn Nhì","Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh",tan-son-nhi,ward,30
00083,"Bình Lợi Trung","Phường Bình Lợi Trung, Thành phố Hồ Chí Minh",binh-loi-trung,ward,30
00086,"Tân Nhựt","Xã Tân Nhựt, Thành phố Hồ Chí Minh",tan-nhut,commune,30
00087,"An Nhơn","Phường An Nhơn, Thành phố Hồ Chí Minh",an-nhon,ward,30
00088,"Tân Tạo","Phường Tân Tạo, Thành phố Hồ Chí Minh",tan-tao,ward,30
