code,name,fullName,slug,type,provinceCode
00513,"Mai Sơn","Xã Mai Sơn, Tỉnh Sơn La",mai-son,commune,31
00543,"Tô Hiệu","Phường Tô Hiệu, Tỉnh Sơn La",to-hieu,ward,31
00646,"Phù Yên","Xã Phù Yên, Tỉnh Sơn La",phu-yen,commune,31
00657,"Thuận Châu","Xã Thuận Châu, Tỉnh Sơn La",thuan-chau,commune,31
01298,"Yên Châu","Xã Yên Châu, Tỉnh Sơn La",yen-chau,commune,31
01327,"Mường La","Xã Mường La, Tỉnh Sơn La",muong-la,commune,31
01477,"Quỳnh Nhai","Xã Quỳnh Nhai, Tỉnh Sơn La",quynh-nhai,commune,31
01679,"Chiềng Mung","Xã Chiềng Mung, Tỉnh Sơn La",chieng-mung,commune,31
01738,"Chiềng Sinh","Phường Chiềng Sinh, Tỉnh Sơn La",chieng-sinh,ward,31
01809,"Sông Mã","Xã Sông Mã, Tỉnh Sơn La",song-ma,commune,31
01877,"Mường Bú","Xã Mường Bú, Tỉnh Sơn La",muong-bu,commune,31
01895,"Vân Hồ","Xã Vân Hồ, Tỉnh Sơn La",van-ho,commune,31
01922,"Phiêng Pằn","Xã Phiêng Pằn, Tỉnh Sơn La",phieng-pan,commune,31
01927,"Mường Hung","Xã Mường Hung, Tỉnh Sơn La",muong-hung,commune,31
01932,"Mường Khiêng","Xã Mường Khiêng, Tỉnh Sơn La",muong-khieng,commune,31
01975,"Sốp Cộp","Xã Sốp Cộp, Tỉnh Sơn La",sop-cop,commune,31
01997,"Chiềng Mai","Xã Chiềng Mai, Tỉnh Sơn La",chieng-mai,commune,31
02049,"Chiềng Khoong","Xã Chiềng Khoong, Tỉnh Sơn La",chieng-khoong,commune,31
02090,"Chiềng Cơi","Phường Chiềng Cơi, Tỉnh Sơn La",chieng-coi,ward,31
02107,"Thảo Nguyên","Phường Thảo Nguyên, Tỉnh Sơn La",thao-nguyen,ward,31
02142,"Gia Phù","Xã Gia Phù, Tỉnh Sơn La",gia-phu,commune,31
02144,"Bắc Yên","Xã Bắc Yên, Tỉnh Sơn La",bac-yen,commune,31
02196,"Mộc Châu","Phường Mộc Châu, Tỉnh Sơn La",moc-chau,ward,31
02203,"Chiềng Lao","Xã Chiềng Lao, Tỉnh Sơn La",chieng-lao,commune,31
02237,"Chiềng La","Xã Chiềng La, Tỉnh Sơn La",chieng-la,commune,31
02244,"Chiềng An","Phường Chiềng An, Tỉnh Sơn La",chieng-an,ward,31
02288,"Mường Cơi","Xã Mường Cơi, Tỉnh Sơn La",muong-coi,commune,31
02346,"Chiềng Hặc","Xã Chiềng Hặc, Tỉnh Sơn La",chieng-hac,commune,31
02350,"Chiềng Khương","Xã Chiềng Khương, Tỉnh Sơn La",chieng-khuong,commune,31
02368,"Tân Yên","Xã Tân Yên, Tỉnh Sơn La",tan-yen,commune,31
02384,"Nậm Lầu","Xã Nậm Lầu, Tỉnh Sơn La",nam-lau,commune,31
02397,"Đoàn Kết","Xã Đoàn Kết, Tỉnh Sơn La",oan-ket,commune,31
02415,"Chiềng Hoa","Xã Chiềng Hoa, Tỉnh Sơn La",chieng-hoa,commune,31
02446,"Púng Bánh","Xã Púng Bánh, Tỉnh Sơn La",pung-banh,commune,31
02456,"Chiềng Sơ","Xã Chiềng Sơ, Tỉnh Sơn La",chieng-so,commune,31
02458,"Bình Thuận","Xã Bình Thuận, Tỉnh Sơn La",binh-thuan,commune,31
02483,"Nậm Ty","Xã Nậm Ty, Tỉnh Sơn La",nam-ty,commune,31
02494,"Bó Sinh","Xã Bó Sinh, Tỉnh Sơn La",bo-sinh,commune,31
02519,"Mường Giôn","Xã Mường Giôn, Tỉnh Sơn La",muong-gion,commune,31
02539,"Vân Sơn","Phường Vân Sơn, Tỉnh Sơn La",van-son,ward,31
02543,"Song Khủa","Xã Song Khủa, Tỉnh Sơn La",song-khua,commune,31
02556,"Mường Lầm","Xã Mường Lầm, Tỉnh Sơn La",muong-lam,commune,31
02558,"Muổi Nọi","Xã Muổi Nọi, Tỉnh Sơn La",muoi-noi,commune,31
02562,"Tạ Khoa","Xã Tạ Khoa, Tỉnh Sơn La",ta-khoa,commune,31
02588,"Mộc Sơn","Phường Mộc Sơn, Tỉnh Sơn La",moc-son,ward,31
02604,"Mường É","Xã Mường É, Tỉnh Sơn La",muong-e,commune,31
02614,"Tô Múa","Xã Tô Múa, Tỉnh Sơn La",to-mua,commune,31
02620,"Co Mạ","Xã Co Mạ, Tỉnh Sơn La",co-ma,commune,31
