code,name,fullName,slug,type,provinceCode
00075,"Ninh Kiều","Phường Ninh Kiều, Thành phố Cần Thơ",ninh-kieu,ward,32
00133,"Phú Lợi","Phường Phú Lợi, Thành phố Cần Thơ",phu-loi,ward,32
00166,"Tân An","Phường Tân An, Thành phố Cần Thơ",tan-an,ward,32
00242,"Ô Môn","Phường Ô Môn, Thành phố Cần Thơ",o-mon,ward,32
00272,"Cái Răng","Phường Cái Răng, Thành phố Cần Thơ",cai-rang,ward,32
00300,"Vĩnh Châu","Phường Vĩnh Châu, Thành phố Cần Thơ",vinh-chau,ward,32
00348,"Thạnh Hòa","Xã Thạnh Hòa, Thành phố Cần Thơ",thanh-hoa,commune,32
00360,"Bình Thủy","Phường Bình Thủy, Thành phố Cần Thơ",binh-thuy,ward,32
00372,"Thốt Nốt","Phường Thốt Nốt, Thành phố Cần Thơ",thot-not,ward,32
00374,"Sóc Trăng","Phường Sóc Trăng, Thành phố Cần Thơ",soc-trang,ward,32
00414,"Ngã Năm","Phường Ngã Năm, Thành phố Cần Thơ",nga-nam,ward,32
00418,"Hưng Phú","Phường Hưng Phú, Thành phố Cần Thơ",hung-phu,ward,32
00429,"Cái Khế","Phường Cái Khế, Thành phố Cần Thơ",cai-khe,ward,32
00438,"Thuận Hưng","Phường Thuận Hưng, Thành phố Cần Thơ",thuan-hung,ward,32
00448,"An Lạc Thôn","Xã An Lạc Thôn, Thành phố Cần Thơ",an-lac-thon,commune,32
00464,"Trung Hưng","Xã Trung Hưng, Thành phố Cần Thơ",trung-hung,commune,32
00501,"Thới Long","Phường Thới Long, Thành phố Cần Thơ",thoi-long,ward,32
00505,"Trần Đề","Xã Trần Đề, Thành phố Cần Thơ",tran-e,commune,32
00521,"Phong Điền","Xã Phong Điền, Thành phố Cần Thơ",phong-ien,commune,32
00523,"Vĩnh Phước","Phường Vĩnh Phước, Thành phố Cần Thơ",vinh-phuoc,ward,32
00529,"Mỹ Xuyên","Phường Mỹ Xuyên, Thành phố Cần Thơ",my-xuyen,ward,32
00537,"Mỹ Hương","Xã Mỹ Hương, Thành phố Cần Thơ",my-huong,commune,32
00550,"Tân Hòa","Xã Tân Hòa, Thành phố Cần Thơ",tan-hoa,commune,32
00551,"Phú Lộc","Xã Phú Lộc, Thành phố Cần Thơ",phu-loc,commune,32
00573,"An Bình","Phường An Bình, Thành phố Cần Thơ",an-binh,ward,32
00647,"Ngọc Tố","Xã Ngọc Tố, Thành phố Cần Thơ",ngoc-to,commune,32
00664,"Phước Thới","Phường Phước Thới, Thành phố Cần Thơ",phuoc-thoi,ward,32
00685,"Xà Phiên","Xã Xà Phiên, Thành phố Cần Thơ",xa-phien,commune,32
00711,"Long Tuyền","Phường Long Tuyền, Thành phố Cần Thơ",long-tuyen,ward,32
00719,"Cù Lao Dung","Xã Cù Lao Dung, Thành phố Cần Thơ",cu-lao-dung,commune,32
00766,"Đại Hải","Xã Đại Hải, Thành phố Cần Thơ",ai-hai,commune,32
00779,"Kế Sách","Xã Kế Sách, Thành phố Cần Thơ",ke-sach,commune,32
00795,"Vị Thanh 1","Xã Vị Thanh 1, Thành phố Cần Thơ",vi-thanh-1,commune,32
00819,"Nhơn Mỹ","Xã Nhơn Mỹ, Thành phố Cần Thơ",nhon-my,commune,32
00821,"Cờ Đỏ","Xã Cờ Đỏ, Thành phố Cần Thơ",co-o,commune,32
00847,"Phú Hữu","Xã Phú Hữu, Thành phố Cần Thơ",phu-huu,commune,32
00856,"Thạnh Xuân","Xã Thạnh Xuân, Thành phố Cần Thơ",thanh-xuan,commune,32
00871,"Nhơn Ái","Xã Nhơn Ái, Thành phố Cần Thơ",nhon-ai,commune,32
00897,"An Ninh","Xã An Ninh, Thành phố Cần Thơ",an-ninh,commune,32
00903,"Gia Hòa","Xã Gia Hòa, Thành phố Cần Thơ",gia-hoa,commune,32
00906,"Đông Phước","Xã Đông Phước, Thành phố Cần Thơ",ong-phuoc,commune,32
00922,"Vĩnh Thuận Đông","Xã Vĩnh Thuận Đông, Thành phố Cần Thơ",vinh-thuan-ong,commune,32
00925,"Long Phú","Xã Long Phú, Thành phố Cần Thơ",long-phu,commune,32
00937,"Thới An Đông","Phường Thới An Đông, Thành phố Cần Thơ",thoi-an-ong,ward,32
00949,"Thạnh Quới","Xã Thạnh Quới, Thành phố Cần Thơ",thanh-quoi,commune,32
00950,"Châu Thành","Xã Châu Thành, Thành phố Cần Thơ",chau-thanh,commune,32
00989,"Nhu Gia","Xã Nhu Gia, Thành phố Cần Thơ",nhu-gia,commune,32
01002,"Mỹ Tú","Xã Mỹ Tú, Thành phố Cần Thơ",my-tu,commune,32
01003,"Tân Bình","Xã Tân Bình, Thành phố Cần Thơ",tan-binh,commune,32
01013,"Ngã Bảy","Phường Ngã Bảy, Thành phố Cần Thơ",nga-bay,ward,32
01016,"Trường Thành","Xã Trường Thành, Thành phố Cần Thơ",truong-thanh,commune,32
01021,"An Thạnh","Xã An Thạnh, Thành phố Cần Thơ",an-thanh,commune,32
01025,"Khánh Hòa","Phường Khánh Hòa, Thành phố Cần Thơ",khanh-hoa,ward,32
01034,"Trung Nhứt","Phường Trung Nhứt, Thành phố Cần Thơ",trung-nhut,ward,32
01092,"Trường Xuân","Xã Trường Xuân, Thành phố Cần Thơ",truong-xuan,commune,32
01094,"Thới Lai","Xã Thới Lai, Thành phố Cần Thơ",thoi-lai,commune,32
01118,"Vị Tân","Phường Vị Tân, Thành phố Cần Thơ",vi-tan,ward,32
01134,"Long Mỹ","Phường Long Mỹ, Thành phố Cần Thơ",long-my,ward,32
01136,"Tân Thạnh","Xã Tân Thạnh, Thành phố Cần Thơ",tan-thanh,commune,32
01144,"Tân Lộc","Phường Tân Lộc, Thành phố Cần Thơ",tan-loc,ward,32
01156,"Tân Long","Xã Tân Long, Thành phố Cần Thơ",tan-long,commune,32
01196,"Trường Khánh","Xã Trường Khánh, Thành phố Cần Thơ",truong-khanh,commune,32
01199,"Đại Thành","Phường Đại Thành, Thành phố Cần Thơ",ai-thanh,ward,32
01204,"Tài Văn","Xã Tài Văn, Thành phố Cần Thơ",tai-van,commune,32
01238,"Phương Bình","Xã Phương Bình, Thành phố Cần Thơ",phuong-binh,commune,32
01256,"Long Hưng","Xã Long Hưng, Thành phố Cần Thơ",long-hung,commune,32
01261,"Hiệp Hưng","Xã Hiệp Hưng, Thành phố Cần Thơ",hiep-hung,commune,32
01266,"Phụng Hiệp","Xã Phụng Hiệp, Thành phố Cần Thơ",phung-hiep,commune,32
01276,"Phú Tâm","Xã Phú Tâm, Thành phố Cần Thơ",phu-tam,commune,32
01309,"Hòa An","Xã Hòa An, Thành phố Cần Thơ",hoa-an,commune,32
01323,"Vị Thanh","Phường Vị Thanh, Thành phố Cần Thơ",vi-thanh,ward,32
01347,"Vị Thủy","Xã Vị Thủy, Thành phố Cần Thơ",vi-thuy,commune,32
01369,"Lâm Tân","Xã Lâm Tân, Thành phố Cần Thơ",lam-tan,commune,32
01388,"Thới An Hội","Xã Thới An Hội, Thành phố Cần Thơ",thoi-an-hoi,commune,32
01393,"Vĩnh Tường","Xã Vĩnh Tường, Thành phố Cần Thơ",vinh-tuong,commune,32
01412,"Liêu Tú","Xã Liêu Tú, Thành phố Cần Thơ",lieu-tu,commune,32
01419,"Hồ Đắc Kiện","Xã Hồ Đắc Kiện, Thành phố Cần Thơ",ho-ac-kien,commune,32
01471,"Thạnh An","Xã Thạnh An, Thành phố Cần Thơ",thanh-an,commune,32
01479,"Vĩnh Thạnh","Xã Vĩnh Thạnh, Thành phố Cần Thơ",vinh-thanh,commune,32
01492,"Long Phú 1","Phường Long Phú 1, Thành phố Cần Thơ",long-phu-1,ward,32
01500,"Mỹ Quới","Phường Mỹ Quới, Thành phố Cần Thơ",my-quoi,ward,32
01530,"Thuận Hòa","Xã Thuận Hòa, Thành phố Cần Thơ",thuan-hoa,commune,32
01559,"Lai Hòa","Xã Lai Hòa, Thành phố Cần Thơ",lai-hoa,commune,32
01586,"Thạnh Thới An","Xã Thạnh Thới An, Thành phố Cần Thơ",thanh-thoi-an,commune,32
01666,"Lịch Hội Thượng","Xã Lịch Hội Thượng, Thành phố Cần Thơ",lich-hoi-thuong,commune,32
01675,"Vĩnh Hải","Xã Vĩnh Hải, Thành phố Cần Thơ",vinh-hai,commune,32
01744,"Vĩnh Trinh","Xã Vĩnh Trinh, Thành phố Cần Thơ",vinh-trinh,commune,32
01798,"Long Bình","Phường Long Bình, Thành phố Cần Thơ",long-binh,ward,32
01834,"Tân Phước Hưng","Xã Tân Phước Hưng, Thành phố Cần Thơ",tan-phuoc-hung,commune,32
01838,"Thạnh Phú","Xã Thạnh Phú, Thành phố Cần Thơ",thanh-phu,commune,32
01873,"Trường Long Tây","Xã Trường Long Tây, Thành phố Cần Thơ",truong-long-tay,commune,32
01928,"Đông Thuận","Xã Đông Thuận, Thành phố Cần Thơ",ong-thuan,commune,32
01936,"Đại Ngãi","Xã Đại Ngãi, Thành phố Cần Thơ",ai-ngai,commune,32
01940,"Hòa Tú","Xã Hòa Tú, Thành phố Cần Thơ",hoa-tu,commune,32
01948,"Vĩnh Viễn","Xã Vĩnh Viễn, Thành phố Cần Thơ",vinh-vien,commune,32
01957,"Vĩnh Lợi","Xã Vĩnh Lợi, Thành phố Cần Thơ",vinh-loi,commune,32
01974,"Hỏa Lựu","Xã Hỏa Lựu, Thành phố Cần Thơ",hoa-luu,commune,32
01977,"Trường Long","Xã Trường Long, Thành phố Cần Thơ",truong-long,commune,32
01980,"Lương Tâm","Xã Lương Tâm, Thành phố Cần Thơ",luong-tam,commune,32
02019,"Mỹ Phước","Xã Mỹ Phước, Thành phố Cần Thơ",my-phuoc,commune,32
02084,"Đông Hiệp","Xã Đông Hiệp, Thành phố Cần Thơ",ong-hiep,commune,32
02322,"Thới Hưng","Xã Thới Hưng, Thành phố Cần Thơ",thoi-hung,commune,32
03170,"Phong Nẫm","Xã Phong Nẫm, Thành phố Cần Thơ",phong-nam,commune,32
