code,name,fullName,slug,type,provinceCode
00255,"Minh Xuân","Phường Minh Xuân, Tỉnh Tuyên Quang",minh-xuan,ward,34
00784,"An Tường","Phường An Tường, Tỉnh Tuyên Quang",an-tuong,ward,34
00826,"Sơn Dương","Xã Sơn Dương, Tỉnh Tuyên Quang",son-duong,commune,34
01254,"Bắc Quang","Xã Bắc Quang, Tỉnh Tuyên Quang",bac-quang,commune,34
01293,"Hà Giang 2","Phường Hà Giang 2, Tỉnh Tuyên Quang",ha-giang-2,ward,34
01399,"Yên Sơn","Xã Yên Sơn, Tỉnh Tuyên Quang",yen-son,commune,34
01408,"Mỹ Lâm","Phường Mỹ Lâm, Tỉnh Tuyên Quang",my-lam,ward,34
01493,"Chiêm Hoá","Xã Chiêm Hoá, Tỉnh Tuyên Quang",chiem-hoa,commune,34
01553,"Hàm Yên","Xã Hàm Yên, Tỉnh Tuyên Quang",ham-yen,commune,34
01645,"Sơn Thuỷ","Xã Sơn Thuỷ, Tỉnh Tuyên Quang",son-thuy,commune,34
01719,"Phú Lương","Xã Phú Lương, Tỉnh Tuyên Quang",phu-luong,commune,34
01785,"Yên Minh","Xã Yên Minh, Tỉnh Tuyên Quang",yen-minh,commune,34
01820,"Đồng Văn","Xã Đồng Văn, Tỉnh Tuyên Quang",dong-van,commune,34
01955,"Bình Ca","Xã Bình Ca, Tỉnh Tuyên Quang",binh-ca,commune,34
01989,"Vị Xuyên","Xã Vị Xuyên, Tỉnh Tuyên Quang",vi-xuyen,commune,34
02085,"Khâu Vai","Xã Khâu Vai, Tỉnh Tuyên Quang",khau-vai,commune,34
02146,"Nhữ Khê","Xã Nhữ Khê, Tỉnh Tuyên Quang",nhu-khe,commune,34
02150,"Linh Hồ","Xã Linh Hồ, Tỉnh Tuyên Quang",linh-ho,commune,34
02157,"Hà Giang 1","Phường Hà Giang 1, Tỉnh Tuyên Quang",ha-giang-1,ward,34
02255,"Minh Quang","Xã Minh Quang, Tỉnh Tuyên Quang",minh-quang,commune,34
02264,"Sơn Vĩ","Xã Sơn Vĩ, Tỉnh Tuyên Quang",son-vi,commune,34
02276,"Mèo Vạc","Xã Mèo Vạc, Tỉnh Tuyên Quang",meo-vac,commune,34
02286,"Xín Mần","Xã Xín Mần, Tỉnh Tuyên Quang",xin-man,commune,34
02300,"Hồng Sơn","Xã Hồng Sơn, Tỉnh Tuyên Quang",hong-son,commune,34
02325,"Xuân Vân","Xã Xuân Vân, Tỉnh Tuyên Quang",xuan-van,commune,34
02326,"Mậu Duệ","Xã Mậu Duệ, Tỉnh Tuyên Quang",mau-due,commune,34
02338,"Tân Thanh","Xã Tân Thanh, Tỉnh Tuyên Quang",tan-thanh,commune,34
02354,"Bình Thuận","Phường Bình Thuận, Tỉnh Tuyên Quang",binh-thuan,ward,34
02366,"Quản Bạ","Xã Quản Bạ, Tỉnh Tuyên Quang",quan-ba,commune,34
02371,"Đồng Yên","Xã Đồng Yên, Tỉnh Tuyên Quang",dong-yen,commune,34
02372,"Thái Hoà","Xã Thái Hoà, Tỉnh Tuyên Quang",thai-hoa,commune,34
02385,"Đông Thọ","Xã Đông Thọ, Tỉnh Tuyên Quang",dong-tho,commune,34
02394,"Bình Xa","Xã Bình Xa, Tỉnh Tuyên Quang",binh-xa,commune,34
02417,"Trường Sinh","Xã Trường Sinh, Tỉnh Tuyên Quang",truong-sinh,commune,34
02438,"Nà Hang","Xã Nà Hang, Tỉnh Tuyên Quang",na-hang,commune,34
02449,"Hùng An","Xã Hùng An, Tỉnh Tuyên Quang",hung-an,commune,34
02471,"Kim Bình","Xã Kim Bình, Tỉnh Tuyên Quang",kim-binh,commune,34
02474,"Sà Phìn","Xã Sà Phìn, Tỉnh Tuyên Quang",sa-phin,commune,34
02491,"Bằng Hành","Xã Bằng Hành, Tỉnh Tuyên Quang",bang-hanh,commune,34
02493,"Lũng Phìn","Xã Lũng Phìn, Tỉnh Tuyên Quang",lung-phin,commune,34
02497,"Thắng Mố","Xã Thắng Mố, Tỉnh Tuyên Quang",thang-mo,commune,34
02499,"Thái Sơn","Xã Thái Sơn, Tỉnh Tuyên Quang",thai-son,commune,34
02517,"Phù Lưu","Xã Phù Lưu, Tỉnh Tuyên Quang",phu-luu,commune,34
02532,"Yên Nguyên","Xã Yên Nguyên, Tỉnh Tuyên Quang",yen-nguyen,commune,34
02545,"Du Già","Xã Du Già, Tỉnh Tuyên Quang",du-gia,commune,34
02548,"Pà Vầy Sủ","Xã Pà Vầy Sủ, Tỉnh Tuyên Quang",pa-vay-su,commune,34
02557,"Hoàng Su Phì","Xã Hoàng Su Phì, Tỉnh Tuyên Quang",hoang-su-phi,commune,34
02560,"Phố Bảng","Xã Phố Bảng, Tỉnh Tuyên Quang",pho-bang,commune,34
02568,"Nông Tiến","Phường Nông Tiến, Tỉnh Tuyên Quang",nong-tien,ward,34
02576,"Bạch Xa","Xã Bạch Xa, Tỉnh Tuyên Quang",bach-xa,commune,34
02581,"Tân Mỹ","Xã Tân Mỹ, Tỉnh Tuyên Quang",tan-my,commune,34
02583,"Lũng Cú","Xã Lũng Cú, Tỉnh Tuyên Quang",lung-cu,commune,34
02598,"Tân Trào","Xã Tân Trào, Tỉnh Tuyên Quang",tan-trao,commune,34
02602,"Yên Phú","Xã Yên Phú, Tỉnh Tuyên Quang",yen-phu,commune,34
02631,"Đường Thượng","Xã Đường Thượng, Tỉnh Tuyên Quang",duong-thuong,commune,34
