code,name,fullName,slug,type,provinceCode
00001,"Rạch Giá","Phường Rạch Giá, Tỉnh An Giang",rach-gia,ward,18
00002,"Dĩ An","Phường Dĩ An, Thành phố Hồ Chí Minh",di-an,ward,30
00003,"Hiệp Bình","Phường Hiệp Bình, Thành phố Hồ Chí Minh",hiep-binh,ward,30
00004,"Tăng Nhơn Phú","Phường Tăng Nhơn Phú, Thành phố Hồ Chí Minh",tang-nhon-phu,ward,30
00005,"Bà Điểm","Xã Bà Điểm, Thành phố Hồ Chí Minh",ba-iem,commune,30
00006,"Thanh Khê","Phường Thanh Khê, Thành phố Đà Nẵng",thanh-khe,ward,12
00007,"Hạc Thành","Phường Hạc Thành, Tỉnh Thanh Hoá",hac-thanh,ward,07
00008,"Trấn Biên","Phường Trấn Biên, Tỉnh Đồng Nai",tran-bien,ward,22
00009,"Chánh Hưng","Phường Chánh Hưng, Thành phố Hồ Chí Minh",chanh-hung,ward,30
00010,"Đông Thạnh","Xã Đông Thạnh, Thành phố Hồ Chí Minh",ong-thanh,commune,30
00011,"Nam Định","Phường Nam Định, Tỉnh Ninh Bình",nam-inh,ward,13
00012,"Bình Hưng Hòa","Phường Bình Hưng Hòa, Thành phố Hồ Chí Minh",binh-hung-hoa,ward,30
00013,"Hà Đông","Phường Hà Đông, Thành phố Hà Nội",ha-ong,ward,01
00014,"Bình Hưng","Xã Bình Hưng, Thành phố Hồ Chí Minh",binh-hung,commune,30
00015,"Đông Hưng Thuận","Phường Đông Hưng Thuận, Thành phố Hồ Chí Minh",ong-hung-thuan,ward,30
00016,"An Phú Đông","Phường An Phú Đông, Thành phố Hồ Chí Minh",an-phu-ong,ward,30
00017,"An Lạc","Phường An Lạc, Thành phố Hồ Chí Minh",an-lac,ward,30
00018,"Buôn Ma Thuột","Phường Buôn Ma Thuột, Tỉnh Đắk Lắk",buon-ma-thuot,ward,27
00019,"Long Bình","Phường Long Bình, Tỉnh Đồng Nai",long-binh,ward,22
00020,"Tân Thới Hiệp","Phường Tân Thới Hiệp, Thành phố Hồ Chí Minh",tan-thoi-hiep,ward,30
00021,"Vĩnh Lộc","Xã Vĩnh Lộc, Thành phố Hồ Chí Minh",vinh-loc,commune,30
00022,"Bình Trị Đông","Phường Bình Trị Đông, Thành phố Hồ Chí Minh",binh-tri-ong,ward,30
00023,"Tân Vĩnh Lộc","Xã Tân Vĩnh Lộc, Thành phố Hồ Chí Minh",tan-vinh-loc,commune,30
00024,"An Phú","Phường An Phú, Thành phố Hồ Chí Minh",an-phu,ward,30
00025,"Bình Tân","Phường Bình Tân, Thành phố Hồ Chí Minh",binh-tan,ward,30
00026,"Lê Chân","Phường Lê Chân, Thành phố Hải Phòng",le-chan,ward,05
00027,"Linh Xuân","Phường Linh Xuân, Thành phố Hồ Chí Minh",linh-xuan,ward,30
00028,"Phú Quốc","Đặc khu Phú Quốc, Tỉnh An Giang",phu-quoc,commune,18
00029,"Bình Đông","Phường Bình Đông, Thành phố Hồ Chí Minh",binh-ong,ward,30
00030,"Long Xuyên","Phường Long Xuyên, Tỉnh An Giang",long-xuyen,ward,18
00031,"Tân Hưng","Phường Tân Hưng, Thành phố Hồ Chí Minh",tan-hung,ward,30
00032,"Tam Bình","Phường Tam Bình, Thành phố Hồ Chí Minh",tam-binh,ward,30
00033,"Thạnh Mỹ Tây","Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh",thanh-my-tay,ward,30
00034,"Thuận Giao","Phường Thuận Giao, Thành phố Hồ Chí Minh",thuan-giao,ward,30
00035,"Phú Định","Phường Phú Định, Thành phố Hồ Chí Minh",phu-inh,ward,30
00036,"Hoa Lư","Phường Hoa Lư, Tỉnh Ninh Bình",hoa-lu,ward,13
00037,"Tân Thuận","Phường Tân Thuận, Thành phố Hồ Chí Minh",tan-thuan,ward,30
00038,"Tân Hiệp","Phường Tân Hiệp, Thành phố Hồ Chí Minh",tan-hiep,ward,30
00039,"Trường Vinh","Phường Trường Vinh, Tỉnh Nghệ An",truong-vinh,ward,11
00040,"Phú Thọ Hòa","Phường Phú Thọ Hòa, Thành phố Hồ Chí Minh",phu-tho-hoa,ward,30
00041,"Tam Hiệp","Phường Tam Hiệp, Tỉnh Đồng Nai",tam-hiep,ward,22
00042,"Cao Lãnh","Phường Cao Lãnh, Tỉnh Đồng Tháp",cao-lanh,ward,16
00043,"Phước Long","Phường Phước Long, Thành phố Hồ Chí Minh",phuoc-long,ward,30
00044,"Tương Mai","Phường Tương Mai, Thành phố Hà Nội",tuong-mai,ward,01
00045,"Nha Trang","Phường Nha Trang, Tỉnh Khánh Hòa",nha-trang,ward,14
00046,"Bảy Hiền","Phường Bảy Hiền, Thành phố Hồ Chí Minh",bay-hien,ward,30
00047,"Đông Hòa","Phường Đông Hòa, Thành phố Hồ Chí Minh",ong-hoa,ward,30
00048,"Hải Châu","Phường Hải Châu, Thành phố Đà Nẵng",hai-chau,ward,12
00049,"Phú Xuân","Phường Phú Xuân, Thành phố Huế",phu-xuan,ward,04
00050,"Nam Nha Trang","Phường Nam Nha Trang, Tỉnh Khánh Hòa",nam-nha-trang,ward,14
00051,"Bạch Mai","Phường Bạch Mai, Thành phố Hà Nội",bach-mai,ward,01
00052,"Quy Nhơn","Phường Quy Nhơn, Tỉnh Gia Lai",quy-nhon,ward,28
00053,"Hạnh Thông","Phường Hạnh Thông, Thành phố Hồ Chí Minh",hanh-thong,ward,30
00054,"Củ Chi","Xã Củ Chi, Thành phố Hồ Chí Minh",cu-chi,commune,30
00055,"Bắc Nha Trang","Phường Bắc Nha Trang, Tỉnh Khánh Hòa",bac-nha-trang,ward,14
00056,"Trung Mỹ Tây","Phường Trung Mỹ Tây, Thành phố Hồ Chí Minh",trung-my-tay,ward,30
00057,"Tân Khánh","Phường Tân Khánh, Thành phố Hồ Chí Minh",tan-khanh,ward,30
00058,"Bình Thạnh","Phường Bình Thạnh, Thành phố Hồ Chí Minh",binh-thanh,ward,30
00059,"Tuy Hòa","Phường Tuy Hòa, Tỉnh Đắk Lắk",tuy-hoa,ward,27
00060,"Gia Định","Phường Gia Định, Thành phố Hồ Chí Minh",gia-inh,ward,30
00061,"Nhà Bè","Xã Nhà Bè, Thành phố Hồ Chí Minh",nha-be,commune,30
00062,"Thới An","Phường Thới An, Thành phố Hồ Chí Minh",thoi-an,ward,30
00063,"Nghĩa Đô","Phường Nghĩa Đô, Thành phố Hà Nội",nghia-o,ward,01
00064,"An Hội Đông","Phường An Hội Đông, Thành phố Hồ Chí Minh",an-hoi-ong,ward,30
00065,"Thành Vinh","Phường Thành Vinh, Tỉnh Nghệ An",thanh-vinh,ward,11
00066,"Hồng Hà","Phường Hồng Hà, Thành phố Hà Nội",hong-ha,ward,01
00067,"Bắc Giang","Phường Bắc Giang, Tỉnh Bắc Ninh",bac-giang,ward,10
00068,"Bình Trưng","Phường Bình Trưng, Thành phố Hồ Chí Minh",binh-trung,ward,30
00069,"Thông Tây Hội","Phường Thông Tây Hội, Thành phố Hồ Chí Minh",thong-tay-hoi,ward,30
00070,"An Hội Tây","Phường An Hội Tây, Thành phố Hồ Chí Minh",an-hoi-tay,ward,30
00071,"Bình Hòa","Phường Bình Hòa, Thành phố Hồ Chí Minh",binh-hoa,ward,30
00072,"Bồ Đề","Phường Bồ Đề, Thành phố Hà Nội",bo-e,ward,01
00073,"Từ Liêm","Phường Từ Liêm, Thành phố Hà Nội",tu-liem,ward,01
00074,"Long Bình","Phường Long Bình, Thành phố Hồ Chí Minh",long-binh,ward,30
00075,"Ninh Kiều","Phường Ninh Kiều, Thành phố Cần Thơ",ninh-kieu,ward,32
00076,"Hòa Cường","Phường Hòa Cường, Thành phố Đà Nẵng",hoa-cuong,ward,12
00077,"Thủ Đức","Phường Thủ Đức, Thành phố Hồ Chí Minh",thu-uc,ward,30
00078,"Lái Thiêu","Phường Lái Thiêu, Thành phố Hồ Chí Minh",lai-thieu,ward,30
00079,"Đông Anh","Xã Đông Anh, Thành phố Hà Nội",ong-anh,commune,01
00080,"Sóc Sơn","Xã Sóc Sơn, Thành phố Hà Nội",soc-son,commune,01
00081,"Vũng Tàu","Phường Vũng Tàu, Thành phố Hồ Chí Minh",vung-tau,ward,30
00082,"Tân Sơn Nhì","Phường Tân Sơn Nhì, Thành phố Hồ Chí Minh",tan-son-nhi,ward,30
00083,"Bình Lợi Trung","Phường Bình Lợi Trung, Thành phố Hồ Chí Minh",binh-loi-trung,ward,30
00084,"An Biên","Phường An Biên, Thành phố Hải Phòng",an-bien,ward,05
00085,"Ngũ Hành Sơn","Phường Ngũ Hành Sơn, Thành phố Đà Nẵng",ngu-hanh-son,ward,12
00086,"Tân Nhựt","Xã Tân Nhựt, Thành phố Hồ Chí Minh",tan-nhut,commune,30
00087,"An Nhơn","Phường An Nhơn, Thành phố Hồ Chí Minh",an-nhon,ward,30
00088,"Tân Tạo","Phường Tân Tạo, Thành phố Hồ Chí Minh",tan-tao,ward,30
00089,"Hồng Bàng","Phường Hồng Bàng, Thành phố Hải Phòng",hong-bang,ward,05
00090,"Hòa Khánh","Phường Hòa Khánh, Thành phố Đà Nẵng",hoa-khanh,ward,12
00091,"Phù Đổng","Xã Phù Đổng, Thành phố Hà Nội",phu-ong,commune,01
00092,"Phan Đình Phùng","Phường Phan Đình Phùng, Tỉnh Thái Nguyên",phan-inh-phung,ward,19
00093,"Bình Phước","Phường Bình Phước, Tỉnh Đồng Nai",binh-phuoc,ward,22
00094,"Gò Vấp","Phường Gò Vấp, Thành phố Hồ Chí Minh",go-vap,ward,30
00095,"Long Hải","Xã Long Hải, Thành phố Hồ Chí Minh",long-hai,commune,30
00096,"Kim Liên","Phường Kim Liên, Thành phố Hà Nội",kim-lien,ward,01
00097,"Tây Nha Trang","Phường Tây Nha Trang, Tỉnh Khánh Hòa",tay-nha-trang,ward,14
00098,"Phú Lợi","Phường Phú Lợi, Thành phố Hồ Chí Minh",phu-loi,ward,30
00099,"Bình Dương","Phường Bình Dương, Thành phố Hồ Chí Minh",binh-duong,ward,30
00100,"Long An","Phường Long An, Tỉnh Tây Ninh",long-an,ward,15
00101,"Thanh Xuân","Phường Thanh Xuân, Thành phố Hà Nội",thanh-xuan,ward,01
00102,"Long Hoa","Phường Long Hoa, Tỉnh Tây Ninh",long-hoa,ward,15
00103,"Văn Miếu - Quốc Tử Giám","Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội",van-mieu-quoc-tu-giam,ward,01
00104,"Hoàn Kiếm","Phường Hoàn Kiếm, Thành phố Hà Nội",hoan-kiem,ward,01
00105,"Trảng Dài","Phường Trảng Dài, Tỉnh Đồng Nai",trang-dai,ward,22
00106,"Xuân Phương","Phường Xuân Phương, Thành phố Hà Nội",xuan-phuong,ward,01
00107,"Sa Đéc","Phường Sa Đéc, Tỉnh Đồng Tháp",sa-ec,ward,16
00108,"Xuân Lộc","Xã Xuân Lộc, Tỉnh Đồng Nai",xuan-loc,commune,22
00109,"Vườn Lài","Phường Vườn Lài, Thành phố Hồ Chí Minh",vuon-lai,ward,30
00110,"Phú Thạnh","Phường Phú Thạnh, Thành phố Hồ Chí Minh",phu-thanh,ward,30
00111,"Xuân Thới Sơn","Xã Xuân Thới Sơn, Thành phố Hồ Chí Minh",xuan-thoi-son,commune,30
00112,"Xuân Hương - Đà Lạt","Phường Xuân Hương - Đà Lạt, Tỉnh Lâm Đồng",xuan-huong-a-lat,ward,29
00113,"Hải An","Phường Hải An, Thành phố Hải Phòng",hai-an,ward,05
00114,"Thư Lâm","Xã Thư Lâm, Thành phố Hà Nội",thu-lam,commune,01
00115,"Gia Viên","Phường Gia Viên, Thành phố Hải Phòng",gia-vien,ward,05
00116,"An Khánh","Xã An Khánh, Thành phố Hà Nội",an-khanh,commune,01
00117,"Tân Triều","Phường Tân Triều, Tỉnh Đồng Nai",tan-trieu,ward,22
00118,"Tân Đông Hiệp","Phường Tân Đông Hiệp, Thành phố Hồ Chí Minh",tan-ong-hiep,ward,30
00119,"Tây Hồ","Phường Tây Hồ, Thành phố Hà Nội",tay-ho,ward,01
00120,"Tây Phương","Xã Tây Phương, Thành phố Hà Nội",tay-phuong,commune,01
00121,"Sầm Sơn","Phường Sầm Sơn, Tỉnh Thanh Hoá",sam-son,ward,07
00122,"Bình Mỹ","Xã Bình Mỹ, Thành phố Hồ Chí Minh",binh-my,commune,30
00123,"Thuận Hóa","Phường Thuận Hóa, Thành phố Huế",thuan-hoa,ward,04
00124,"Hoàng Mai","Phường Hoàng Mai, Thành phố Hà Nội",hoang-mai,ward,01
00125,"Bến Cát","Phường Bến Cát, Thành phố Hồ Chí Minh",ben-cat,ward,30
00126,"Phú Hòa Đông","Xã Phú Hòa Đông, Thành phố Hồ Chí Minh",phu-hoa-ong,commune,30
00127,"Ô Diên","Xã Ô Diên, Thành phố Hà Nội",o-dien,commune,01
00128,"Châu Đốc","Phường Châu Đốc, Tỉnh An Giang",chau-oc,ward,18
00129,"Giảng Võ","Phường Giảng Võ, Thành phố Hà Nội",giang-vo,ward,01
00130,"Phú Xuyên","Xã Phú Xuyên, Thành phố Hà Nội",phu-xuyen,commune,01
00131,"Hòa Hưng","Phường Hòa Hưng, Thành phố Hồ Chí Minh",hoa-hung,ward,30
00132,"Phúc Thịnh","Xã Phúc Thịnh, Thành phố Hà Nội",phuc-thinh,commune,01
00133,"Phú Lợi","Phường Phú Lợi, Thành phố Cần Thơ",phu-loi,ward,32
00134,"Khánh Hội","Phường Khánh Hội, Thành phố Hồ Chí Minh",khanh-hoi,ward,30
00135,"An Khê","Phường An Khê, Thành phố Đà Nẵng",an-khe,ward,12
00136,"Ngọc Hà","Phường Ngọc Hà, Thành phố Hà Nội",ngoc-ha,ward,01
00137,"Tân Hòa","Phường Tân Hòa, Thành phố Hồ Chí Minh",tan-hoa,ward,30
00138,"Hóc Môn","Xã Hóc Môn, Thành phố Hồ Chí Minh",hoc-mon,commune,30
00139,"Tân Phú","Phường Tân Phú, Thành phố Hồ Chí Minh",tan-phu,ward,30
00140,"Long Thành","Xã Long Thành, Tỉnh Đồng Nai",long-thanh,commune,22
00141,"Trảng Bom","Xã Trảng Bom, Tỉnh Đồng Nai",trang-bom,commune,22
00142,"Đại Thanh","Xã Đại Thanh, Thành phố Hà Nội",ai-thanh,commune,01
00143,"Trần Lãm","Phường Trần Lãm, Tỉnh Hưng Yên",tran-lam,ward,02
